Year,Player Names
2008,"MS Dhoni, Parthiv Patel, Abhinav Mukund, Srikkanth Anirudha, Subramaniam Badrinath, Suresh Raina, Michael Hussey, Arun Karthik, Ravichandran Ashwin, Albie Morkel, Jacob Oram, Joginder Sharma, Shadab Jakati, Sudeep Tyagi, Lakshmipathy Balaji, Manpreet Gony, Muttiah Muralitharan"
2009,"MS Dhoni, Parthiv Patel, Murali Vijay, Subramaniam Badrinath, Suresh Raina, George Bailey, Arun Karthik, Jacob Oram, Ravichandran Ashwin, Albie Morkel, Joginder Sharma, Manpreet Gony, Shadab Jakati, Sudeep Tyagi, Muttiah Muralitharan, Lakshmipathy Balaji"
2010,"MS Dhoni, Parthiv Patel, Murali Vijay, Subramaniam Badrinath, Suresh Raina, George Bailey, Michael Hussey, Arun Karthik, Ravichandran Ashwin, Thisara Perera, Albie Morkel, Jacob Oram, Joginder Sharma, Shadab Jakati, Sudeep Tyagi, Doug Bollinger, Lakshmipathy Balaji, Manpreet Gony, Muttiah Muralitharan"
2011,"MS Dhoni, Wriddhiman Saha, Abhinav Mukund, Murali Vijay, Srikkanth Anirudha, Subramaniam Badrinath, Suresh Raina, George Bailey, Michael Hussey, Faf du Plessis, Ravichandran Ashwin, Scott Styris, Dwayne Bravo, Albie Morkel, Joginder Sharma, Shadab Jakati, Sudeep Tyagi, Yo Mahesh, Ben Hilfenhaus, Doug Bollinger, Suraj Randiv, Nuwan Kulasekara, Tim Southee"
2012,"MS Dhoni, Wriddhiman Saha, Abhinav Mukund, Murali Vijay, Srikkanth Anirudha, Subramaniam Badrinath, Suresh Raina, George Bailey, Michael Hussey, Faf du Plessis, Ravichandran Ashwin, Ravindra Jadeja, Scott Styris, Dwayne Bravo, Albie Morkel, Joginder Sharma, Shadab Jakati, Sudeep Tyagi, Yo Mahesh, Ben Hilfenhaus, Doug Bollinger, Suraj Randiv, Nuwan Kulasekara"
2013,"MS Dhoni, Wriddhiman Saha, Murali Vijay, Srikkanth Anirudha, Subramaniam Badrinath, Suresh Raina, Michael Hussey, Faf du Plessis, Chris Morris, Ravichandran Ashwin, Ravindra Jadeja, Dwayne Bravo, Albie Morkel, Jason Holder, Vijay Shankar, Shadab Jakati, Akila Dananjaya, Ben Hilfenhaus, Ankit Rajpoot, Mohit Sharma, Ronit More, Nuwan Kulasekara, Ben Laughlin, Dirk Nannes"
2014,"MS Dhoni, Brendon McCullum, Suresh Raina, Faf du Plessis, Mithun Manhas, Ravichandran Ashwin, Ravindra Jadeja, John Hastings, Pawan Negi, Dwayne Bravo, David Hussey, Vijay Shankar, Dwayne Smith, Matt Henry, Ishwar Pandey, Samuel Badree, Ben Hilfenhaus, Ashish Nehra, Mohit Sharma, Ronit More"
2015,"MS Dhoni, Brendon McCullum, Ankush Bains, Eklavya Dwivedi , Suresh Raina, Michael Hussey, Faf du Plessis, Mithun Manhas, Ravichandran Ashwin, Ravindra Jadeja, Kyle Abbott, Dwayne Bravo, Dwayne Smith, Irfan Pathan, Pawan Negi, Ishwar Pandey, Andrew Tye, Samuel Badree, Mohit Sharma, Ronit More, Matt Henry, Ashish Nehra, Rahul Sharma"
2016,
2017,
2018,"MS Dhoni, Sam Billings, Narayan Jagadeesan, Ambati Rayudu, Murali Vijay, Suresh Raina, Dhruv Shorey, Faf du Plessis, David Willey, Ravindra Jadeja, Shardul Thakur, Dwayne Bravo, Chaitanya Bishnoi, Shane Watson, Harbhajan Singh, Kedar Jadhav, Mitchell Santner, Imran Tahir, Deepak Chahar, KM Asif, Monu Kumar, Karn Sharma, Lungi Ngidi, Mark Wood"
2019,"MS Dhoni, Sam Billings, Narayan Jagadeesan, Ambati Rayudu, Ruturaj Gaikwad, Murali Vijay, Suresh Raina, Dhruv Shorey, Faf du Plessis, Scott Kuggeleijn, David Willey, Ravindra Jadeja, Shardul Thakur, Dwayne Bravo, Chaitanya Bishnoi, Shane Watson, Harbhajan Singh, Kedar Jadhav, Mitchell Santner, Imran Tahir, Deepak Chahar, KM Asif, Mohit Sharma, Monu Kumar, Karn Sharma"
2020,"MS Dhoni, Ambati Rayudu, Narayan Jagadeesan, Ruturaj Gaikwad, Murali Vijay, Faf du Plessis, Shane Watson, Kedar Jadhav, Ravindra Jadeja, Mitchell Santner, Shardul Thakur, Sai Kishore, Dwayne Bravo, Sam Curran, Imran Tahir, Lungi Ngidi, Deepak Chahar, Piyush Chawla, KM Asif, Monu Kumar, Josh Hazlewood, Karn Sharma"
2021,"MS Dhoni, Narayan Jagadeesan, Ambati Rayudu, Ruturaj Gaikwad, C Hari Nishaanth, Suresh Raina, Faf du Plessis, Cheteshwar Pujara, Robin Uthappa, K Bhagath Varma, Moeen Ali, Ravindra Jadeja, Shardul Thakur, Sai Kishore, Dwayne Bravo, Mitchell Santner, Krishnappa Gowtham, Sam Curran, Imran Tahir, M Harishankar Reddy, Deepak Chahar, KM Asif, Josh Hazlewood, Dominic Drakes, Karn Sharma, Lungi Ngidi"
2022,"MS Dhoni, C Hari Nishaanth, Devon Conway, Robin Uthappa, Ruturaj Gaikwad, Subhranshu Senapati, Ambati Rayudu, Narayan Jagadeesan, Ravindra Jadeja, Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, K Bhagath Varma, Moeen Ali, Rajvardhan Hangargekar, Shivam Dube, Chris Jordan, Adam Milne, Deepak Chahar, KM Asif, Maheesh Theekshana, Mukesh Choudhary, Prashant Solanki, Simarjeet Singh, Tushar Deshpande, Matheesha Pathirana"
2023,"MS Dhoni, Devon Conway, Ruturaj Gaikwad, Subhranshu Senapati, Ambati Rayudu, Ajinkya Rahane, Shaik Rasheed, Ravindra Jadeja, Dwaine Pretorius, Mitchell Santner, K Bhagath Varma, Moeen Ali, Rajvardhan Hangargekar, Shivam Dube, Ben Stokes, Nishant Sindhu, Ajay Mandal, Akash Singh, Deepak Chahar, Maheesh Theekshana, Mukesh Choudhary, Prashant Solanki, Simarjeet Singh, Tushar Deshpande, Matheesha Pathirana, Sisanda Magala, Kyle Jamieson"
2024,"Ruturaj Gaikwad, Devon Conway, MS Dhoni, Ajinkya Rahane, Shaik Rasheed, Avanish Rao Aravelly, Ravindra Jadeja, Mitchell Santner, Moeen Ali, Rajvardhan Hangargekar, Shivam Dube, Nishant Sindhu, Ajay Mandal, Rachin Ravindra, Sameer Rizvi, Shardul Thakur, Daryl Mitchell, Richard Gleeson, Deepak Chahar, Maheesh Theekshana, Mukesh Choudhary, Mustafizur Rahman, Prashant Solanki, Simarjeet Singh, Tushar Deshpande, Matheesha Pathirana"
