Year,Player Names
2008,"Virender Sehwag, Dinesh Karthik, AB de Villiers, Shikhar Dhawan, Gautam Gambhir, Manoj Tiwary, Mithun Manhas, Yogesh Nagar, Tillakaratne Dilshan, Daniel Vettori, Rajat Bhatia, Yo Mahesh, Pradeep Sangwan, Amit Mishra"
2009,"Virender Sehwag, AB de Villiers, Dinesh Karthik, Gautam Gambhir, Mithun Manhas, Owais Shah, David Warner, Manoj Tiwary, Rajat Bhatia, Paul Collingwood, Tillakaratne Dilshan, Andrew McDonald, Yogesh Nagar, Daniel Vettori, Yo Mahesh, Amit Mishra, Dirk Nannes, Ashish Nehra, Aavishkar Salvi, Pradeep Sangwan"
2010,"Gautam Gambhir, Dinesh Karthik, AB de Villiers, David Warner, Virender Sehwag, Mithun Manhas, Moises Henriques, Rajat Bhatia, Paul Collingwood, Kedar Jadhav, Andrew McDonald, Tillakaratne Dilshan, Daniel Vettori, Yo Mahesh, Pradeep Sangwan, Sarabjit Ladda, Amit Mishra, Wayne Parnell, Dirk Nannes, Aavishkar Salvi, Ashish Nehra, Umesh Yadav"
2011,"Virender Sehwag, Matthew Wade, Naman Ojha, Aaron Finch, Colin Ingram, David Warner, Unmukt Chand, Yogesh Nagar, Ajit Chandila, Andrew McDonald, Roelof van der Merwe, Ajit Agarkar, Irfan Pathan, Venugopal Rao, Morne Morkel, Aavishkar Salvi, Ashok Dinda, Shahbaz Nadeem, Umesh Yadav, Varun Aaron"
2012,"Virender Sehwag, Naman Ojha, Aaron Finch, David Warner, Kevin Pietersen, Mahela Jayawardene, Manpreet Juneja, Unmukt Chand, Yogesh Nagar, Glenn Maxwell, Ajit Agarkar, Irfan Pathan, Andre Russell, Pawan Negi, Venugopal Rao, Morne Morkel, Aavishkar Salvi, Doug Bracewell, Shahbaz Nadeem, Sunny Gupta, Umesh Yadav, Varun Aaron"
2013,"Mahela Jayawardene, Chidhambaram Gautam, Naman Ojha, Bharat Chipli, David Warner, Kevin Pietersen, Virender Sehwag, Manpreet Juneja, Unmukt Chand, Yogesh Nagar, Johan Botha, Kedar Jadhav, Roelof van der Merwe, Ajit Agarkar, Andre Russell, Irfan Pathan, Pawan Negi, Jeevan Mendis, Venugopal Rao, Morne Morkel, Ashish Nehra, Shahbaz Nadeem, Umesh Yadav, Varun Aaron, Siddharth Kaul"
2014,"Quinton de Kock, Dinesh Karthik, Ross Taylor, Saurabh Tiwary, Murali Vijay, Kevin Pietersen, Milind Kumar, Manoj Tiwary, Mayank Agarwal, Kedar Jadhav, Jimmy Neesham, Jayant Yadav, JP Duminy, Laxmi Ratan Shukla, Imran Tahir, Rahul Shukla, Nathan Coulter-Nile, Jaydev Unadkat, Shahbaz Nadeem, Mohammad Shami, Siddharth Kaul, Rahul Sharma, Wayne Parnell"
2015,"Quinton de Kock, Chidhambaram Gautam, K.S Bharat, Manoj Tiwary, Shreyas Iyer, Mayank Agarwal, Saurabh Tiwary, Travis Head, JP Duminy, Marcus Stoinis, Jayant Yadav, Angelo Mathews, Albie Morkel, Kedar Jadhav, Yuvraj Singh, Imran Tahir, Nathan Coulter-Nile, Jaydev Unadkat, Mohammad Shami, Amit Mishra, Zaheer Khan, Domnic Joseph, Gurinder Sandhu, Shahbaz Nadeem"
2016,"Quinton de Kock, Sanju Samson, Rishabh Pant, Sam Billings, Karun Nair, Shreyas Iyer, Mayank Agarwal, Carlos Brathwaite, Chris Morris, Jayant Yadav, Pawan Negi, JP Duminy, Mahipal Lomror, Zaheer Khan, Imran Tahir, Nathan Coulter-Nile, Pawan Suyal, Khaleel Ahmed, Chama Milind, Shahbaz Nadeem, Amit Mishra, Mohammad Shami"
2017,"Sanju Samson, Rishabh Pant, Aditya Tare, Sam Billings, Karun Nair, Shreyas Iyer, Shashank Singh, Chris Morris, Corey Anderson, Jayant Yadav, Marlon Samuels, Angelo Mathews, Carlos Brathwaite, Kagiso Rabada, Ben Hilfenhaus, Khaleel Ahmed, Amit Mishra, Mohammad Shami, Zaheer Khan, Pat Cummins, Navdeep Saini, Murugan Ashwin, Shahbaz Nadeem"
2018,"Shreyas Iyer, Naman Ojha, Colin Munro, Manjot Kalra, Gautam Gambhir, Rishabh Pant, Jason Roy, Prithvi Shaw, Gurkeerat Mann Singh, Chris Morris, Jayant Yadav, Glenn Maxwell, Harshal Patel, Abhishek Sharma, Dan Christian, Vijay Shankar, Sandeep Lamichhane, Trent Boult, Rahul Tewatia, Avesh Khan, Amit Mishra, Mohammad Shami, Sayan Ghosh, Shahbaz Nadeem"
2019,"Shreyas Iyer, Ankush Bains, Colin Munro, Manjot Kalra, Sherfane Rutherford, Rishabh Pant, Hanuma Vihari, Colin Ingram, Shikhar Dhawan, Prithvi Shaw, Chris Morris, Axar Patel, Harshal Patel, Keemo Paul, Jalaj Saxena, Kagiso Rabada, Bandaru Ayyappa, Sandeep Lamichhane, Trent Boult, Rahul Tewatia, Avesh Khan, Amit Mishra, Ishant Sharma, Nathu Singh, Jagadeesha Suchith"
2020,"Alex Carey, Rishabh Pant, Ajinkya Rahane, Shikhar Dhawan, Shimron Hetmyer, Prithvi Shaw, Shreyas Iyer, Marcus Stoinis, Ravichandran Ashwin, Daniel Sams, Lalit Yadav, Axar Patel, Harshal Patel, Keemo Paul, Kagiso Rabada, Sandeep Lamichhane, Ishant Sharma, Mohit Sharma, Pravin Dubey, Avesh Khan, Tushar Deshpande, Anrich Nortje, Amit Mishra"
2021,"Sam Billings, Vishnu Vinod, Rishabh Pant, Ajinkya Rahane, Shreyas Iyer, Ripal Patel, Shikhar Dhawan, Shimron Hetmyer, Prithvi Shaw, Marcus Stoinis, Chris Woakes, Ravichandran Ashwin, Steve Smith, Lalit Yadav, Axar Patel, Kagiso Rabada, Ben Dwarshuis, M Siddharth, Avesh Khan, Amit Mishra, Ishant Sharma, Pravin Dubey, Anrich Nortje, Umesh Yadav, Lukman Meriwala, Kulwant Khejroliya, Tom Curran"
2022,"Rishabh Pant, David Warner, Mandeep Singh, Prithvi Shaw, Rovman Powell, K.S Bharat, Tim Seifert, Ripal Patel, Sarfaraz Khan, Yash Dhull, Axar Patel, Kamlesh Nagarkoti, Lalit Yadav, Mitchell Marsh, Shardul Thakur, Pravin Dubey, Vicky Ostwal, Anrich Nortje, Chetan Sakariya, Kuldeep Yadav, Lungi Ngidi, Mustafizur Rahman, Khaleel Ahmed"
