Name,ID,Team
Kevlon Anderson,1209188,Guyana Amazon Warriors
Mark Deyal,848623,Guyana Amazon Warriors
Shimron Hetmyer,670025,Guyana Amazon Warriors
Shai Hope,581379,Guyana Amazon Warriors
Moeen Ali,8917,Guyana Amazon Warriors
Roston Chase,391832,Guyana Amazon Warriors
Keemo Paul,677081,Guyana Amazon Warriors
Dwaine Pretorius,327830,Guyana Amazon Warriors
Romario Shepherd,677077,Guyana Amazon Warriors
Shamar Springer,820689,Guyana Amazon Warriors
Tanzim Hasan Sakib,1139520,Guyana Amazon Warriors
Imran Tahir,40618,Guyana Amazon Warriors
Hassan Khan,959789,Guyana Amazon Warriors
Gudakesh Motie,670045,Guyana Amazon Warriors
Toby Albert,1260388,Hampshire
Fletcha Middleton,1148476,Hampshire
Felix Organ,862065,Hampshire
Ali Orr,1260069,Hampshire
Tom Prest,1181700,Hampshire
Shan Masood,233901,Hampshire
Joe Weatherley,748793,Hampshire
Liam Dawson,211855,Hampshire
James Fuller,451782,Hampshire
Benny Howell,211748,Hampshire
Chris Wood,310525,Hampshire
Sonny Baker,1191192,Hampshire
Danny Briggs,310107,Hampshire
Brad Wheal,807535,Hampshire
Mirza Baig,1331512,Lahore Qalandars
Muhammad Akhlaq,822485,Lahore Qalandars
Mohammad Faizan,1218226,Lahore Qalandars
Adam Rossington,457280,Lahore Qalandars
Luke Wells,350126,Lahore Qalandars
Carlos Brathwaite,457249,Lahore Qalandars
Tom Abell,462727,Lahore Qalandars
Asif Afridi,385065,Lahore Qalandars
Faheem Ashraf,681117,Lahore Qalandars
Arif Yaqoob,1410574,Lahore Qalandars
Kaleem Sana,385938,Lahore Qalandars
Salman Mirza,1252522,Lahore Qalandars
Tabraiz Shamsi,379145,Lahore Qalandars
Tayyab Abbas,1424258,Lahore Qalandars
Nurul Hasan,410765,Rangpur Riders
Wayne Madsen,46543,Rangpur Riders
Steven Taylor,348133,Rangpur Riders
Afif Hossain,935995,Rangpur Riders
Harmeet Singh,422847,Rangpur Riders
Khushdil Shah,716733,Rangpur Riders
Mahedi Hasan,833087,Rangpur Riders
Mohammad Saifuddin,629070,Rangpur Riders
Rishad Hossain,1139523,Rangpur Riders
Saif Hassan,821749,Rangpur Riders
Soumya Sarkar,436677,Rangpur Riders
Arafat Sunny,56268,Rangpur Riders
Zak Chappell,865833,Rangpur Riders
Matthew Forde,1209190,Rangpur Riders
Kamrul Islam,375724,Rangpur Riders
Joe Clarke,571911,Victoria
Scott Edwards,1127317,Victoria
Jahmar Hamilton,332937,Victoria
Blake Macdonald,939091,Victoria
Jonathan Wells,233680,Victoria
Corey Anderson,277662,Victoria
Juanoy Drysdale,1427052,Victoria
Sanjay Krishnamurthi,1277627,Victoria
Max Birthisel,1446914,Victoria
Karima Gore,1139028,Victoria
Carmi le Roux,440894,Victoria
David Moody,779937,Victoria
Callum Stow,1446918,Victoria
Farzan Chowna,1461766,Victoria
