Name,ID,Team
MS Dhoni,28081,Chennai Super Kings
Arun Karthik,319745,Chennai Super Kings
S Badrinath,26806,Chennai Super Kings
George Bailey,4451,Chennai Super Kings
Matthew Hayden,5616,Chennai Super Kings
Parthiv Patel,32242,Chennai Super Kings
Suresh Raina,33335,Chennai Super Kings
Murali Vijay,237095,Chennai Super Kings
Ravichandran Ashwin,26421,Chennai Super Kings
Joginder Sharma,29976,Chennai Super Kings
Albie Morkel,46248,Chennai Super Kings
Jacob Oram,38062,Chennai Super Kings
Andrew Flintoff,12856,Chennai Super Kings
Vidyut Sivaramakrishnan,35619,Chennai Super Kings
Lakshmipathy Balaji,26829,Chennai Super Kings
Manpreet Gony,317293,Chennai Super Kings
Shadab Jakati,29655,Chennai Super Kings
Muthiah Muralidaran,49636,Chennai Super Kings
Makhaya Ntini,46592,Chennai Super Kings
Thilan Thushara,49677,Chennai Super Kings
Sudeep Tyagi,317784,Chennai Super Kings
Palani  Amarnath,290629,Chennai Super Kings
Viraj Kadbe,340834,Chennai Super Kings
Adam Gilchrist,5390,Deccan Chargers
Manvinder  Bisla,27280,Deccan Chargers
Herschelle Gibbs,45224,Deccan Chargers
VVS Laxman,30750,Deccan Chargers
Dwaraka Ravi Teja,237701,Deccan Chargers
Rohit Sharma,34102,Deccan Chargers
Chamara Silva,50431,Deccan Chargers
Tirumalasetti Suman,34281,Deccan Chargers
Venugopal Rao,35805,Deccan Chargers
Arjun Yadav,36110,Deccan Chargers
Dwayne Smith,53118,Deccan Chargers
Scott Styris,38407,Deccan Chargers
Andrew Symonds,7702,Deccan Chargers
Fidel Edwards,51782,Deccan Chargers
Harmeet Singh,391128,Deccan Chargers
Ryan Harris,5779,Deccan Chargers
Jaskaran Singh,376102,Deccan Chargers
Pragyan Ojha,32130,Deccan Chargers
RP Singh,35280,Deccan Chargers
Chaminda Vaas,50804,Deccan Chargers
Nuwan Zoysa,51050,Deccan Chargers
Abhinav Kumar,26167,Deccan Chargers
Azhar Bilakhia,26946,Deccan Chargers
Halhadar Das,236810,Deccan Chargers
Doddapaneni Kalyankrishna,30719,Deccan Chargers
PM Sarvesh Kumar,327127,Deccan Chargers
Shoaib Ahmed,317709,Deccan Chargers
Paidikalva Vijaykumar,272949,Deccan Chargers
Virender Sehwag,35263,Delhi Daredevils
AB de Villiers,44936,Delhi Daredevils
Gautam Gambhir,28763,Delhi Daredevils
Dinesh Karthik,30045,Delhi Daredevils
Owais Shah,20123,Delhi Daredevils
David Warner,219889,Delhi Daredevils
Tejashwi Yadav,344286,Delhi Daredevils
Manoj Tiwary,35565,Delhi Daredevils
Rajat Bhatia,26907,Delhi Daredevils
Paul Collingwood,10772,Delhi Daredevils
Tillakaratne Dilshan,48472,Delhi Daredevils
Farveez Maharoof,49638,Delhi Daredevils
Yo Mahesh,31732,Delhi Daredevils
Mithun Manhas,31001,Delhi Daredevils
Andrew McDonald,6553,Delhi Daredevils
Yogesh Nagar,317786,Delhi Daredevils
Daniel Vettori,38710,Delhi Daredevils
Glenn McGrath,6565,Delhi Daredevils
Amit Mishra,31107,Delhi Daredevils
Dirk Nannes,6981,Delhi Daredevils
Ashish Nehra,31820,Delhi Daredevils
Aavishkar Salvi,34264,Delhi Daredevils
Pradeep Sangwan,279545,Delhi Daredevils
Umesh Yadav,376116,Delhi Daredevils
Yuvraj Singh,36084,Kings Xi Punjab
Karan Goel,28997,Kings Xi Punjab
Mahela Jayawardene,49289,Kings Xi Punjab
Simon Katich,6128,Kings Xi Punjab
Uday Kaul,30235,Kings Xi Punjab
Taruwar Kohli,331855,Kings Xi Punjab
Shaun Marsh,6683,Kings Xi Punjab
Luke Pomersbach,232284,Kings Xi Punjab
Ravikant Shukla,33331,Kings Xi Punjab
Kumar Sangakkara,50710,Kings Xi Punjab
Sunny Sohal,228943,Kings Xi Punjab
Tanmay Srivastava,35401,Kings Xi Punjab
Piyush Chawla,32966,Kings Xi Punjab
James Hopes,5702,Kings Xi Punjab
Ryan Ninan,353669,Kings Xi Punjab
Irfan Pathan,32685,Kings Xi Punjab
Ravi Bopara,10582,Kings Xi Punjab
Yusuf Abdulla,224367,Kings Xi Punjab
Amanpreet Singh,253804,Kings Xi Punjab
Burt Cockley,275678,Kings Xi Punjab
Vikramjeet Malik,31738,Kings Xi Punjab
Ramesh Powar,32391,Kings Xi Punjab
Sreesanth,34274,Kings Xi Punjab
Brett Lee,6278,Kings Xi Punjab
Jerome Taylor,53191,Kings Xi Punjab
Ajitesh Argal,26432,Kings Xi Punjab
Ranadeb Bose,27572,Kings Xi Punjab
Sahil Kukreja,30144,Kings Xi Punjab
Wilkin Mota,31041,Kings Xi Punjab
Vikram Singh,35281,Kings Xi Punjab
Yuvraj Singh,36084,Kings Xi Punjab
Karan Goel,28997,Kings Xi Punjab
Mahela Jayawardene,49289,Kings Xi Punjab
Simon Katich,6128,Kings Xi Punjab
Uday Kaul,30235,Kings Xi Punjab
Taruwar Kohli,331855,Kings Xi Punjab
Shaun Marsh,6683,Kings Xi Punjab
