Year,Player Names
2008,"Brendon McCullum, Wriddhiman Saha, Debabrata Das, Aakash Chopra, Cheteshwar Pujara, Brad Hodge, Ricky Ponting, Sourav Ganguly, Laxmi Ratan Shukla, Chris Gayle, Ajit Agarkar, David Hussey, Iqbal Abdulla, Ajantha Mendis, Ishant Sharma, Ashok Dinda, Murali Kartik, Siddharth Kaul"
2009,"Brendon McCullum, Wriddhiman Saha, Aakash Chopra, Brad Hodge, Sourav Ganguly, Moises Henriques, Chris Gayle, Ajit Agarkar, Laxmi Ratan Shukla, Angelo Mathews, David Hussey, Ajantha Mendis, Ishant Sharma, Charl Langeveldt, Ashok Dinda, Anureet Singh, Murali Kartik"
2010,"Brendon McCullum, Wriddhiman Saha, Owais Shah, Manoj Tiwary, Cheteshwar Pujara, Brad Hodge, Sourav Ganguly, Laxmi Ratan Shukla, Angelo Mathews, Chris Gayle, Ajit Agarkar, David Hussey, Iqbal Abdulla, Jaydev Unadkat, Ajantha Mendis, Ishant Sharma, Charl Langeveldt, Ashok Dinda, Varun Aaron, Murali Kartik"
2011,"Brad Haddin, Manvinder Bisla, Shreevats Goswami, Eoin Morgan, Gautam Gambhir, Manoj Tiwary, Yusuf Pathan, Jacques Kallis, Ryan ten Doeschate, Shakib Al Hasan, Laxmi Ratan Shukla, Rajat Bhatia, Brett Lee, James Pattinson, Iqbal Abdulla, Jaydev Unadkat, Lakshmipathy Balaji, Pradeep Sangwan, Sarabjit Ladda, Mohammad Shami"
2012,"Gautam Gambhir, Sanju Samson, Brad Haddin, Brendon McCullum, Manvinder Bisla, Debabrata Das, Eoin Morgan, Manoj Tiwary, Jacques Kallis, Ryan ten Doeschate, Shakib Al Hasan, Laxmi Ratan Shukla, Rajat Bhatia, Yusuf Pathan, Brett Lee, James Pattinson, Sunil Narine, Marchant de Lange, Iqbal Abdulla, Jaydev Unadkat, Lakshmipathy Balaji, Pradeep Sangwan, Sarabjit Ladda, Mohammad Shami"
2013,"Gautam Gambhir, Brad Haddin, Brendon McCullum, Manvinder Bisla, Debabrata Das, Eoin Morgan, Paras Dogra, Manoj Tiwary, Jacques Kallis, Ryan ten Doeschate, Shakib Al Hasan, Sumit Narwal, Laxmi Ratan Shukla, Rajat Bhatia, Ryan McLaren, Yusuf Pathan, Brett Lee, James Pattinson, Sunil Narine, Iqbal Abdulla, Lakshmipathy Balaji, Pradeep Sangwan, Sarabjit Ladda, Mohammad Shami, Sachithra Senanayake"
2014,"Gautam Gambhir, Manvinder Bisla, Debabrata Das, Suryakumar Yadav, Chris Lynn, Manish Pandey, Robin Uthappa, Yusuf Pathan, Jacques Kallis, Ryan ten Doeschate, Shakib Al Hasan, Andre Russell, Kuldeep Yadav, Vinay Kumar, Pat Cummins, Morne Morkel, Sunil Narine, Piyush Chawla, Veer Pratap Singh, Umesh Yadav"
2015,"Gautam Gambhir, Sheldon Jackson, Robin Uthappa, Suryakumar Yadav, Chris Lynn, Manish Pandey, Azhar Mahmood, Ryan ten Doeschate, Shakib Al Hasan, Jimmy Neesham, Sumit Narwal, Yusuf Pathan, Johan Botha, Brad Hogg, Andre Russell, Kuldeep Yadav, Sunil Narine, Piyush Chawla, Pat Cummins, Morne Morkel, KC Cariappa, Veer Pratap Singh, Umesh Yadav"
2016,"Gautam Gambhir, Sheldon Jackson, Colin Munro, Suryakumar Yadav, Chris Lynn, Manish Pandey, Robin Uthappa, Yusuf Pathan, Brad Hogg, Shakib Al Hasan, John Hastings, Rajagopal Sathish, Andre Russell, Jason Holder, Shaun Tait, Kuldeep Yadav, Morne Morkel, Sunil Narine, Piyush Chawla, Ankit Rajpoot, Jaydev Unadkat, Umesh Yadav"
2017,"Gautam Gambhir, Sheldon Jackson, Ishank Jaggi, Rovman Powell, Suryakumar Yadav, Chris Lynn, Manish Pandey, Robin Uthappa, Rishi Dhawan, Yusuf Pathan, Chris Woakes, Shakib Al Hasan, Colin de Grandhomme, Kuldeep Yadav, Nathan Coulter-Nile, Trent Boult, Sunil Narine, Piyush Chawla, Ankit Rajpoot, Sayan Ghosh, R Sanjay Yadav, Umesh Yadav"
