Year,Player Names
2008,"Sachin Tendulkar, Yogesh Takawale, Ajinkya Rahane, Ankeet Chavan, Siddharth Chitnis, Saurabh Tiwary, Manish Pandey, Robin Uthappa, Abhishek Nayar, Dwayne Bravo, Dwayne Smith, Harbhajan Singh, Swapnil Singh, Lasith Malinga, Dhawal Kulkarni, Ashish Nehra"
2009,"Sachin Tendulkar, Yogesh Takawale, Saurabh Tiwary, Ajinkya Rahane, Shikhar Dhawan, Ryan McLaren, Abhishek Nayar, Harbhajan Singh, JP Duminy, Dwayne Bravo, Zaheer Khan, Dhawal Kulkarni, Lasith Malinga"
2010,"Sachin Tendulkar, Aditya Tare, Ambati Rayudu, Saurabh Tiwary, Shikhar Dhawan, Abhishek Nayar, Rajagopal Sathish, Kieron Pollard, Stuart Binny, Dwayne Bravo, Ryan McLaren, Harbhajan Singh, JP Duminy, Rahul Shukla, Lasith Malinga, Abu Nechim, Zaheer Khan, Dhawal Kulkarni, Ali Murtaza"
2011,"Sachin Tendulkar, Davy Jacobs, Aditya Tare, Aiden Blizzard, Ambati Rayudu, Rohit Sharma, Suryakumar Yadav, Tirumalasetti Suman, Moises Henriques, Rajagopal Sathish, James Franklin, Kieron Pollard, Harbhajan Singh, Clint McKay, Lasith Malinga, Abu Nechim, Dhawal Kulkarni, Munaf Patel, Pawan Suyal, Yuzvendra Chahal, Ali Murtaza"
2012,"Davy Jacobs, Aditya Tare, Dinesh Karthik, Aiden Blizzard, Herschelle Gibbs, Sachin Tendulkar, Ambati Rayudu, Rohit Sharma, Suryakumar Yadav, Tirumalasetti Suman, James Franklin, Kieron Pollard, Dwayne Smith, Harbhajan Singh, Kuldeep Yadav, Rahul Shukla, Clint McKay, Lasith Malinga, Abu Nechim, Dhawal Kulkarni, Munaf Patel, Pawan Suyal, Pragyan Ojha, Yuzvendra Chahal, RP Singh"
2013,"Ricky Ponting, Aditya Tare, Ambati Rayudu, Dinesh Karthik, Aiden Blizzard, Sachin Tendulkar, Rohit Sharma, Suryakumar Yadav, Rishi Dhawan, James Franklin, Kieron Pollard, Mitchell Johnson, Axar Patel, Glenn Maxwell, Dwayne Smith, Jacob Oram, Harbhajan Singh, Jalaj Saxena, Nathan Coulter-Nile, Lasith Malinga, Abu Nechim, Jasprit Bumrah, Dhawal Kulkarni, Munaf Patel, Pawan Suyal, Pragyan Ojha"
2014,"Rohit Sharma, Aditya Tare, Ben Dunk, Chidhambaram Gautam, Ambati Rayudu, Lendl Simmons, Michael Hussey, Harbhajan Singh, Corey Anderson, Kieron Pollard, Shreyas Gopal, Jalaj Saxena, Jasprit Bumrah, Zaheer Khan, Pawan Suyal, Marchant de Lange, Praveen Kumar, Lasith Malinga, Krishmar Santokie, Josh Hazlewood"
2015,"Rohit Sharma, Aditya Tare, Colin Munro, Aiden Blizzard, Lendl Simmons, Ambati Rayudu, Aaron Finch, Parthiv Patel, Siddhesh Lad, Unmukt Chand, Alex Hales, Corey Anderson, Kieron Pollard, Shreyas Gopal, Harbhajan Singh, Nitish Rana, Hardik Pandya, Marchant de Lange, Ben Hilfenhaus, Lasith Malinga, Abhimanyu Mithun, Josh Hazlewood, Mitchell McClenaghan, Jasprit Bumrah, Vinay Kumar, Pawan Suyal, Pragyan Ojha, Jagadeesha Suchith"
2016,"Rohit Sharma, Ambati Rayudu, Jitesh Sharma, Jos Buttler, Lendl Simmons, Parthiv Patel, Martin Guptill, Siddhesh Lad, Unmukt Chand, Corey Anderson, Kieron Pollard, Shreyas Gopal, Harbhajan Singh, Krunal Pandya, Nitish Rana, Hardik Pandya, Marchant de Lange, Lasith Malinga, Mitchell McClenaghan, Jasprit Bumrah, Vinay Kumar, Nathu Singh, Tim Southee, Jagadeesha Suchith"
2017,"Ambati Rayudu, Nicholas Pooran, Parthiv Patel, Jitesh Sharma, Jos Buttler, Lendl Simmons, Saurabh Tiwary, Rohit Sharma, Siddhesh Lad, Kieron Pollard, Shreyas Gopal, Mitchell Johnson, Harbhajan Singh, Krunal Pandya, Nitish Rana, Hardik Pandya, Krishnappa Gowtham, Lasith Malinga, Mitchell McClenaghan, Karn Sharma, Jasprit Bumrah, Vinay Kumar, Tim Southee, Jagadeesha Suchith, Kulwant Khejroliya"
