Name,ID,Team
Asif Ali,494230,Cape Town Blitz
David Bedingham,498585,Cape Town Blitz
Quinton de Kock,379143,Cape Town Blitz
Sibonelo Makhanya,594233,Cape Town Blitz
Janneman Malan,605680,Cape Town Blitz
Dawid Malan,236489,Cape Town Blitz
Jason Smith,498582,Cape Town Blitz
Kyle Verreynne,595004,Cape Town Blitz
Ferisco Adams,549288,Cape Town Blitz
Farhaan Behardien,44410,Cape Town Blitz
Hussain Talat,628240,Cape Town Blitz
George Linde,481875,Cape Town Blitz
Mohammad Nawaz,348148,Cape Town Blitz
Andile Phehlukwayo,540316,Cape Town Blitz
Anrich Nortje,481979,Cape Town Blitz
Dane Piedt,379926,Cape Town Blitz
Malusi Siboto,230861,Cape Town Blitz
Dale Steyn,47492,Cape Town Blitz
Samuel Badree,51433,Cape Town Blitz
Hashim Amla,43906,Durban Heat
Temba Bavuma,372116,Durban Heat
Sarel Erwee,324260,Durban Heat
Heinrich Klaasen,436757,Durban Heat
David Miller,321777,Durban Heat
Morne van Wyk,47711,Durban Heat
Khaya Zondo,318842,Durban Heat
Brandon Mavuta,806239,Durban Heat
Albie Morkel,46248,Durban Heat
Vernon Philander,46945,Durban Heat
Rashid Khan,793463,Durban Heat
Kyle Abbott,297583,Durban Heat
Tladi Bokako,488620,Durban Heat
Okuhle Cele,595618,Durban Heat
Marchant de Lange,393279,Durban Heat
Keshav Maharaj,267724,Durban Heat
Reeza Hendricks,269280,Jozi Stars
Sinethemba Qeshile,952207,Jozi Stars
Ryan Rickelton,605661,Jozi Stars
Pite van Biljon,266268,Jozi Stars
Rassie van der Dussen,337790,Jozi Stars
Dane Vilas,262456,Jozi Stars
Dan Christian,4864,Jozi Stars
Chris Gayle,51880,Jozi Stars
Dwaine Pretorius,327830,Jozi Stars
Simon Harmer,432960,Jozi Stars
Beuran Hendricks,379927,Jozi Stars
Eddie Leie,46149,Jozi Stars
Alfred Mothoa,688143,Jozi Stars
Duanne Olivier,486679,Jozi Stars
Kagiso Rabada,550215,Jozi Stars
Calvin Savage,450881,Jozi Stars
Ben Duckett,521637,Nelson Mandela Bay Giants
Christiaan Jonker,222320,Nelson Mandela Bay Giants
Heino Kuhn,45955,Nelson Mandela Bay Giants
Jason Roy,298438,Nelson Mandela Bay Giants
Ryan McLaren,46393,Nelson Mandela Bay Giants
Chris Morris,439952,Nelson Mandela Bay Giants
Rudi Second,321757,Nelson Mandela Bay Giants
JJ Smuts,280490,Nelson Mandela Bay Giants
Junior Dala,545467,Nelson Mandela Bay Giants
Imran Tahir,40618,Nelson Mandela Bay Giants
Carmi le Roux,440894,Nelson Mandela Bay Giants
Sisanda Magala,379776,Nelson Mandela Bay Giants
Aaron Phangiso,46942,Nelson Mandela Bay Giants
Lizaad Williams,379887,Nelson Mandela Bay Giants
Marco Marais,485216,Nelson Mandela Bay Giants
Dyllan Matthews,594997,Nelson Mandela Bay Giants
Henry Davids,44752,Paarl Rocks
Cameron Delport,322810,Paarl Rocks
Faf du Plessis,44828,Paarl Rocks
Michael Klinger,6161,Paarl Rocks
Mangaliso Mosehle,327832,Paarl Rocks
Vaughn van Jaarsveld,47846,Paarl Rocks
Dwayne Bravo,51439,Paarl Rocks
Patrick Kruger,499560,Paarl Rocks
Aiden Markram,600498,Paarl Rocks
David Wiese,221140,Paarl Rocks
Paul Stirling,303427,Paarl Rocks
Eathan Bosch,698343,Paarl Rocks
Bjorn Fortuin,553249,Paarl Rocks
Tshepo Moreki,594235,Paarl Rocks
Kerwin Mungroo,594335,Paarl Rocks
Dane Paterson,327947,Paarl Rocks
Tabraiz Shamsi,379145,Paarl Rocks
Grant Thomson,450142,Paarl Rocks
Gihahn Cloete,381030,Tshwane Spartans
Theunis de Bruyn,486672,Tshwane Spartans
AB de Villiers,44936,Tshwane Spartans
Tony de Zorzi,697183,Tshwane Spartans
Dean Elgar,230852,Tshwane Spartans
Eoin Morgan,24598,Tshwane Spartans
Rilee Rossouw,318845,Tshwane Spartans
Robbie Frylinck,45204,Tshwane Spartans
Jeevan Mendis,49700,Tshwane Spartans
Sikandar Raza,299572,Tshwane Spartans
Shaun von Berg,393289,Tshwane Spartans
Sean Williams,55870,Tshwane Spartans
Eldred Hawken,601150,Tshwane Spartans
Rory Kleinveldt,45949,Tshwane Spartans
Lungi Ngidi,542023,Tshwane Spartans
Lutho Sipamla,698143,Tshwane Spartans
Andrew Birch,44413,Tshwane Spartans
