Year,Player Names
2008,"Kumar Sangakkara, Nitin Saini, Sunny Sohal, Tanmay Srivastava, Luke Pomersbach, Mahela Jayawardene, Shaun Marsh, Yuvraj Singh, Rishi Dhawan, Irfan Pathan, Brett Lee, Piyush Chawla, Ramesh Powar, Shanthakumaran Sreesanth"
2009,"Kumar Sangakkara, Sunny Sohal, Tanmay Srivastava, Luke Pomersbach, Mahela Jayawardene, Shaun Marsh, Yuvraj Singh, Ryan Ninan, Irfan Pathan, Ravi Bopara, Brett Lee, Piyush Chawla, Vikramjeet Malik, Ramesh Powar, Shanthakumaran Sreesanth"
2010,"Manvinder Bisla, Tanmay Srivastava, Mahela Jayawardene, Kumar Sangakkara, Mohammad Kaif, Shaun Marsh, Bipul Sharma, Irfan Pathan, Yuvraj Singh, Ravi Bopara, Brett Lee, Piyush Chawla, Shalabh Srivastava, Vikramjeet Malik, Ramesh Powar, Shanthakumaran Sreesanth, Juan Theron"
2011,"Adam Gilchrist, Dinesh Karthik, Mandeep Singh, Nitin Saini, Paras Dogra, Paul Valthaty, Siddharth Chitnis, Sunny Singh, David Miller, Shaun Marsh, Abhishek Nayar, Bipul Sharma, Ryan McLaren, David Hussey, Dimitri Mascarenhas, Bhargav Bhatt, Piyush Chawla, Praveen Kumar, Shalabh Srivastava, Vikramjeet Malik, Nathan Rimmington, Ryan Harris"
2012,"Adam Gilchrist, Mandeep Singh, Nitin Saini, Paras Dogra, Paul Valthaty, Siddharth Chitnis, Sunny Singh, David Miller, Gurkeerat Mann Singh, Shaun Marsh, James Faulkner, Abhishek Nayar, Azhar Mahmood, Bipul Sharma, Harmeet Singh Bansal, Rajagopal Sathish, Kyle Abbott, David Hussey, Dimitri Mascarenhas, Bhargav Bhatt, Piyush Chawla, Praveen Kumar, Shalabh Srivastava, Vikramjeet Malik, Ramesh Powar, Nathan Rimmington, Parvinder Awana, Ryan Harris"
2013,"Adam Gilchrist, Mandeep Singh, Nitin Saini, Paul Valthaty, Siddharth Chitnis, Sunny Singh, Luke Pomersbach, David Miller, Gurkeerat Mann Singh, Manan Vohra, Shaun Marsh, Azhar Mahmood, Bipul Sharma, Harmeet Singh Bansal, Michael Neser, Rajagopal Sathish, David Hussey, Dimitri Mascarenhas, Bhargav Bhatt, Piyush Chawla, Praveen Kumar, Aniket Choudhary, Sandeep Sharma, Manpreet Gony, Parvinder Awana, Ryan Harris"
2014,"George Bailey, Wriddhiman Saha, Mandeep Singh, Virender Sehwag, David Miller, Cheteshwar Pujara, Manan Vohra, Gurkeerat Mann Singh, Shaun Marsh, Rishi Dhawan, Karanveer Singh, Shivam Sharma, Shardul Thakur, Mitchell Johnson, Thisara Perera, Axar Patel, Glenn Maxwell, Lakshmipathy Balaji, Beuran Hendricks, Sandeep Sharma, Anureet Singh, Murali Kartik, Parvinder Awana"
2015,"George Bailey, Nikhil Naik, Wriddhiman Saha, Murali Vijay, Virender Sehwag, David Miller, Gurkeerat Mann Singh, Manan Vohra, Shaun Marsh, Rishi Dhawan, Karanveer Singh, Shivam Sharma, Shardul Thakur, Mitchell Johnson, Thisara Perera, Axar Patel, Glenn Maxwell, Beuran Hendricks, Sandeep Sharma, Anureet Singh, Parvinder Awana"
2016,"Murali Vijay, Nikhil Naik, Wriddhiman Saha, Hashim Amla, Farhaan Behardien, Pradeep Sahu, David Miller, Gurkeerat Mann Singh, Manan Vohra, Shaun Marsh, Rishi Dhawan, Marcus Stoinis, Swapnil Singh, Kyle Abbott, Shardul Thakur, Mitchell Johnson, Axar Patel, Glenn Maxwell, Mohit Sharma, KC Cariappa, Sandeep Sharma, Anureet Singh"
2017,"Wriddhiman Saha, Nikhil Naik, Eoin Morgan, Hashim Amla, Martin Guptill, Rinku Singh, Pradeep Sahu, David Miller, Gurkeerat Mann Singh, Manan Vohra, Shaun Marsh, Glenn Maxwell, Marcus Stoinis, Darren Sammy, Axar Patel, Swapnil Singh, Mohit Sharma, Rahul Tewatia, Sandeep Sharma, Anureet Singh, Matt Henry, Ishant Sharma, KC Cariappa, T Natarajan, Varun Aaron"
2018,"KL Rahul, Aaron Finch, Karun Nair, Pradeep Sahu, Manoj Tiwary, David Miller, Mayank Agarwal, Ravichandran Ashwin, Marcus Stoinis, Akshdeep Nath, Chris Gayle, Yuvraj Singh, Mayank Dagar, Axar Patel, Ben Dwarshuis, Andrew Tye, Ankit Rajpoot, Mohit Sharma, Barinder Sran, Mujeeb Ur Rahman"
2019,"KL Rahul, Prabhsimran Singh, Nicholas Pooran, Mandeep Singh, Karun Nair, David Miller, Sarfaraz Khan, Mayank Agarwal, Ravichandran Ashwin, Harpreet Brar, Moises Henriques, Chris Gayle, Sam Curran, Darshan Nalkande, Agnivesh Ayachi, Andrew Tye, Ankit Rajpoot, Murugan Ashwin, Varun Chakaravarthy, Arshdeep Singh, Mujeeb Ur Rahman, Hardus Viljoen, Mohammad Shami"
2020,"KL Rahul, Prabhsimran Singh, Mandeep Singh, Karun Nair, Sarfaraz Khan, Mayank Agarwal, Nicholas Pooran, Harpreet Brar, Jimmy Neesham, Tajinder Singh, Deepak Hooda, Glenn Maxwell, Darshan Nalkande, Chris Gayle, Krishnappa Gowtham, Ishan Porel, Chris Jordan, Ravi Bishnoi, Arshdeep Singh, Mujeeb Ur Rahman, Sheldon Cottrell, Mohammad Shami, Murugan Ashwin, Jagadeesha Suchith, Hardus Viljoen"
