Name,Role,ID,Team,Country,Batting Hand,Bowling Hand,Bowling Style,DOB
Rohit Sharma,BAT,34102,MI,India,RHB,WK,WK,30/04/1987
Suryakumar Yadav,BAT,446507,MI,India,RHB,RHB,Off Break,14/09/1990
Tilak Varma,BAT,1170265,MI,India,LHB,RHB,Off Break,8/11/2002
Will Jacks,ALL,897549,MI,England,RHB,RHB,Off Break,21/11/1998
Bevon Jacobs,BAT,1410577,MI,New Zealand,RHB,RHB,Medium,6/6/2002
Vignesh Puthur,BOWL,1460388,MI,India,RHB,LHB,Slow Orthodox,2/3/2001
Ryan Rickelton,WK,605661,MI,South Africa,LHB,WK,WK,11/7/1996
Robin Minz,WK,1350762,MI,India,LHB,LHB,Slow Orthodox,13/9/2002
KL Shrijith,WK,778241,MI,India,LHB,RHB,Off Break,12/8/1996
Hardik Pandya,ALL,625371,MI,India,RHB,RHB,Medium fast,11/10/1993
Naman Dhir,ALL,1287032,MI,India,RHB,RHB,Off Break,31/12/1999
Raj Angad Bawa,BAT,1292502,MI,India,LHB,RHB,Medium fast,12/11/2002
Karn Sharma,BOWL,30288,MI,India,LHB,RHB,Leg Break Googly,23/10/1987
Mitchell Santner,ALL,502714,MI,New Zealand,LHB,LHB,Slow Orthodox,5/2/1992
Jasprit Bumrah,BOWL,625383,MI,India,RHB,RHB,Fast,6/12/1993
Trent Boult,BOWL,277912,MI,New Zealand,RHB,LHB,Medium fast,22/7/1989
Deepak Chahar,BOWL,447261,MI,India,RHB,RHB,Medium,7/8/1992
Mujeeb-ur-Rahman,BOWL,974109,MI,Afghanistan,RHB,RHB,Off Break,28/3/2001
Ashwani Kumar,BOWL,1209126,MI,India,LHB,LHB,Medium,29/8/2001
Reece Topley,BOWL,461632,MI,England,RHB,LHB,Medium fast,21/2/1994
Satyanarayana Raju,ALL,1392201,MI,India,RHB,RHB,Medium fast,10/7/1999
Corbin Bosch,ALL,594322,MI,South Africa,RHB,RHB,Fast medium,10/9/1994
Arjun Tendulkar,BOWL,1148776,MI,India,LHB,LHB,Medium fast,24/9/1999
Angkrish Raghuvanshi,BAT,1292495,KKR,India,RHB,LHB,Slow Orthodox,5/6/2004
Rinku Singh,BAT,723105,KKR,India,RHB,RHB,Off Break,12/10/1997
Ramandeep Singh,ALL,1079470,KKR,India,RHB,RHB,Medium,13/5/1997
Rovman Powell,BAT,820351,KKR,West Indies,RHB,RHB,Medium fast,23/7/1993
Manish Pandey,BAT,290630,KKR,India,RHB,RHB,Medium,10/9/1989
Luvnith Sisodia,WK,1155253,KKR,India,LHB,LHB,Medium,15/1/2000
Ajinkya Rahane,BAT,277916,KKR,India,RHB,RHB,Medium,6/6/1988
Anukul Sudhakar Roy,ALL,1079839,KKR,India,LHB,LHB,Slow Orthodox,30/11/1998
Quinton de Kock,WK,379143,KKR,South Africa,LHB,WK,WK,17/12/1992
Rahmanullah Gurbaz,WK,974087,KKR,Afghanistan,RHB,RHB ,Medium,28/11/2001
Moeen Ali,ALL,8917,KKR,England,LHB,RHB,Off Break,18/6/1987
Andre Russell,ALL,276298,KKR,West Indies,RHB,RHB,Fast,29/4/1988
Sunil Narine,ALL,230558,KKR,West Indies,LHB,RHB,Off Break,26/5/1988
Venkatesh Iyer,BAT,851403,KKR,India,LHB,RHB ,Medium,25/12/1994
Varun Chakravarthy,BOWL,1108375,KKR,India,RHB,RHB,Leg Break Googly,29/8/1991
Mayank Markande,BOWL,1081442,KKR,India,RHB,RHB ,Leg Break ,11/11/1997
Harshit Rana,BOWL,1312645,KKR,India,RHB,RHB,Fast,22/12/2001
