Year,Player Names
2008,"Rahul Dravid, Shreevats Goswami, Ross Taylor, Bharat Chipli, Virat Kohli, Cameron White, Jacques Kallis, Praveen Kumar, KP Appanna, Zaheer Khan, Vinay Kumar, Dale Steyn"
2009,"Chidhambaram Gautam, Shreevats Goswami, Rahul Dravid, Bharat Chipli, Virat Kohli, Ishank Jaggi, Manish Pandey, Jacques Kallis, Raju Bhatkal, Kedar Jadhav, Praveen Kumar, Pankaj Singh, KP Appanna, Abhimanyu Mithun, Sreenath Aravind, Bhuvneshwar Kumar"
2010,"Shreevats Goswami, Rahul Dravid, Eoin Morgan, Ross Taylor, Virat Kohli, Kevin Pietersen, Cameron White, Manish Pandey, Robin Uthappa, Jacques Kallis, Steve Smith, Roelof van der Merwe, Praveen Kumar, Pankaj Singh, KP Appanna, Abhimanyu Mithun, Vinay Kumar, Bhuvneshwar Kumar, Dale Steyn"
2011,"Chidhambaram Gautam, AB de Villiers, Arun Karthik, Asad Pathan, Cheteshwar Pujara, Mayank Agarwal, Mohammad Kaif, Saurabh Tiwary, Virat Kohli, Luke Pomersbach, Rilee Rossouw, Daniel Vettori, Raju Bhatkal, Ryan Ninan, Chris Gayle, Tillakaratne Dilshan, Abhimanyu Mithun, Abrar Kazi, Syed Mohammad, Sreenath Aravind, Zaheer Khan, Charl Langeveldt, Dirk Nannes"
2012,"Chidhambaram Gautam, AB de Villiers, Karun Nair, Vijay Zol, Arun Karthik, Asad Pathan, Cheteshwar Pujara, Mayank Agarwal, Mohammad Kaif, Saurabh Tiwary, Virat Kohli, Luke Pomersbach, Rilee Rossouw, Daniel Vettori, Harshal Patel, Raju Bhatkal, Ryan Ninan, Andrew McDonald, Chris Gayle, Abhimanyu Mithun, KP Appanna, Abrar Kazi, Syed Mohammad, Sreenath Aravind, Zaheer Khan, Vinay Kumar, Charl Langeveldt, Dirk Nannes, Muttiah Muralitharan"
2013,"Virat Kohli, Sheldon Jackson, KL Rahul, AB de Villiers, Abhinav Mukund, Karun Nair, Arun Karthik, Cheteshwar Pujara, Mayank Agarwal, Saurabh Tiwary, Sunny Sohal, Moises Henriques, Harshal Patel, Andrew McDonald, Chris Gayle, Tillakaratne Dilshan, Daniel Vettori, Dan Christian, Sandeep Warrier, Pankaj Singh, Ravi Rampaul, Jaydev Unadkat, Abhimanyu Mithun, KP Appanna, Syed Mohammad, Vinay Kumar, RP Singh, Muttiah Muralitharan, Murali Kartik"
2014,"Virat Kohli, AB de Villiers, Parthiv Patel, Yogesh Takawale, Rilee Rossouw, Tanmay Mishra, Vijay Zol, Nic Maddinson, Chris Gayle, Yuvraj Singh, Albie Morkel, Harshal Patel, Sachin Rana, Abu Nechim, Sandeep Warrier, Mitchell Starc, Shadab Jakati, Yuzvendra Chahal, Ashok Dinda, Muttiah Muralitharan, Ravi Rampaul, Varun Aaron"
2015,"Virat Kohli, Yogesh Takawale, Manvinder Bisla, Dinesh Karthik, Mandeep Singh, Subramaniam Badrinath, Vijay Zol, Nic Maddinson, Sarfaraz Khan, AB de Villiers, Rilee Rossouw, Darren Sammy, Harshal Patel, David Wiese, Chris Gayle, Sean Abbott, Jalaj Saxena, Sandeep Warrier, Iqbal Abdulla, Abu Nechim, Sreenath Aravind, Mitchell Starc, Yuzvendra Chahal, Ashok Dinda, Adam Milne, Varun Aaron"
2016,"Virat Kohli, AB de Villiers, Mandeep Singh, Sachin Baby, Sarfaraz Khan, KL Rahul, Travis Head, Parveez Rasool, Stuart Binny, Harshal Patel, Shane Watson, David Wiese, Kedar Jadhav, Chris Gayle, Samuel Badree, Vikramjeet Malik, Chris Jordan, Iqbal Abdulla, Kane Richardson, Abu Nechim, Sreenath Aravind, Mitchell Starc, Tabraiz Shamsi, Yuzvendra Chahal, Adam Milne, Pravin Dubey, Varun Aaron"
2017,"Virat Kohli, AB de Villiers, Vishnu Vinod, Mandeep Singh, Harpreet Singh, Sachin Baby, Travis Head, Shane Watson, Kedar Jadhav, Chris Gayle, Stuart Binny, Pawan Negi, Harshal Patel, Sreenath Aravind, Tabraiz Shamsi, Samuel Badree, Yuzvendra Chahal, Billy Stanlake, Adam Milne, Pravin Dubey, Iqbal Abdulla, Aniket Choudhary, Tymal Mills, Avesh Khan"
