Year,Player Names
2008,"Mahesh Rawat, Graeme Smith, Mohammad Kaif, Ravindra Jadeja, Gajendra Singh, Yusuf Pathan, Shane Watson, Dimitri Mascarenhas, Dinesh Salunkhe, Pankaj Singh, Siddharth Trivedi, Munaf Patel, Morne Morkel"
2009,"Mahesh Rawat, Naman Ojha, Siddharth Chitnis, Graeme Smith, Abhishek Raut, Ravindra Jadeja, Raiphi Gomez, Gajendra Singh, Johan Botha, Yusuf Pathan, Amit Singh, Siddharth Trivedi, Shaun Tait, Munaf Patel, Morne Morkel, Kamran Khan"
2010,"Amit Paunikar, Naman Ojha, Paras Dogra, Faiz Fazal, Graeme Smith, Abhishek Jhunjhunwala, Aaron Finch, Shrikant Wagh, Abhishek Raut, Sumit Narwal, Johan Botha, Yusuf Pathan, Shane Watson, Dimitri Mascarenhas, Aditya Dole, Amit Singh, Siddharth Trivedi, Shaun Tait, Munaf Patel, Morne Morkel, Kamran Khan"
2011,"Amit Paunikar, Dishant Yagnik, Rahul Dravid, Aakash Chopra, Ajinkya Rahane, Ankeet Chavan, Faiz Fazal, Ross Taylor, Abhishek Raut, Ashok Menaria, Stuart Binny, Sumit Narwal, Johan Botha, Paul Collingwood, Shane Watson, Jacob Oram, Dinesh Salunkhe, Aditya Dole, Amit Singh, Deepak Chahar, Pankaj Singh, Siddharth Trivedi, Shaun Tait"
2012,"Rahul Dravid, Amit Paunikar, Dishant Yagnik, Shreevats Goswami, Aakash Chopra, Ajinkya Rahane, Ankeet Chavan, Faiz Fazal, Owais Shah, Brad Hodge, Abhishek Raut, Ashok Menaria, Ajit Chandila, Stuart Binny, Sumit Narwal, Johan Botha, Paul Collingwood, Shane Watson, Brad Hogg, Kevon Cooper, Aditya Dole, Amit Singh, Deepak Chahar, Pankaj Singh, Siddharth Trivedi, Shanthakumaran Sreesanth, Shaun Tait"
2013,"Sanju Samson, Kushal Janith Perera, Shreevats Goswami, Rahul Dravid, Ajinkya Rahane, Ankeet Chavan, Dishant Yagnik, Owais Shah, Sachin Baby, Brad Hodge, James Faulkner, Ashok Menaria, Ajit Chandila, Stuart Binny, Pravin Tambe, Shane Watson, Brad Hogg, Kevon Cooper, Harmeet Singh, Rahul Shukla, Samuel Badree, Vikramjeet Malik, Siddharth Trivedi, Shanthakumaran Sreesanth, Shaun Tait"
2014,"Sanju Samson, Dishant Yagnik, Ankush Bains, Ajinkya Rahane, Karun Nair, Brad Hodge, Unmukt Chand, Shane Watson, James Faulkner, Abhishek Nayar, Steve Smith, Stuart Binny, Deepak Hooda, Pravin Tambe, Rajat Bhatia, Ankit Sharma, Kevon Cooper, Ben Cutting, Vikramjeet Malik, Rahul Tewatia, Iqbal Abdulla, Kane Richardson, Dhawal Kulkarni, Tim Southee"
2015,"Sanju Samson, Dishant Yagnik, Ajinkya Rahane, Karun Nair, Pradeep Sahu, James Faulkner, Abhishek Nayar, Chris Morris, Steve Smith, Stuart Binny, Deepak Hooda, Pravin Tambe, Rajat Bhatia, Ankit Sharma, Shane Watson, Dinesh Salunkhe, Ben Cutting, Vikramjeet Malik, Rahul Tewatia, Kane Richardson, Dhawal Kulkarni, Tim Southee, Juan Theron, Barinder Sran"
2016,
2017,
