Year,Player Names
2013,"Quinton de Kock, Kumar Sangakkara, Parthiv Patel, Akshath Reddy, Hanuma Vihari, Thalaivan Sargunam, Dwaraka Ravi Teja, Shikhar Dhawan, Cameron White, Chris Lynn, Darren Sammy, Thisara Perera, Ankit Sharma, JP Duminy, Biplap Samantray, Sachin Rana, Sudeep Tyagi, Clint McKay, Amit Mishra, Karn Sharma, Nathan McCullum, Anand Rajan, Ashish Reddy, Ishant Sharma, Dale Steyn, Veer Pratap Singh"
2014,"KL Rahul, Amit Paunikar, Ricky Bhui, Naman Ojha, Aaron Finch, Shikhar Dhawan, David Warner, Srikkanth Anirudha, Manpreet Juneja, Moises Henriques, Parveez Rasool, Darren Sammy, Irfan Pathan, Jason Holder, Venugopal Rao, Ashish Reddy, Ishant Sharma, Dale Steyn, Bhuvneshwar Kumar, Chama Milind, Karn Sharma, Amit Mishra"
2015,"David Warner, KL Rahul, Ricky Bhui, Naman Ojha, Eoin Morgan, Shikhar Dhawan, Kevin Pietersen, Kane Williamson, Hanuma Vihari, Moises Henriques, Parveez Rasool, Bipul Sharma, Ravi Bopara, Laxmi Ratan Shukla, Ashish Reddy, Ishant Sharma, Trent Boult, Praveen Kumar, Dale Steyn, Bhuvneshwar Kumar, Chama Milind, Karn Sharma, Siddharth Kaul"
2016,"David Warner, Aditya Tare, Ricky Bhui, Naman Ojha, Eoin Morgan, Shikhar Dhawan, Tirumalasetti Suman, Kane Williamson, Moises Henriques, Bipul Sharma, Yuvraj Singh, Deepak Hooda, Vijay Shankar, Ashish Reddy, Trent Boult, Ben Cutting, Ashish Nehra, Bhuvneshwar Kumar, Abhimanyu Mithun, Mustafizur Rahman, Barinder Sran, Siddharth Kaul, Karn Sharma"
2017,"David Warner, Ricky Bhui, Naman Ojha, Shikhar Dhawan, Eklavya Dwivedi , Kane Williamson, Moises Henriques, Bipul Sharma, Deepak Hooda, Pravin Tambe, Mohammad Nabi, Yuvraj Singh, Vijay Shankar, Mohammed Siraj, Rashid Khan, Ben Cutting, Chris Jordan, Abhimanyu Mithun, Ben Laughlin, Ashish Nehra, Bhuvneshwar Kumar, Mustafizur Rahman, Barinder Sran, Siddharth Kaul"
2018,"Kane Williamson, Wriddhiman Saha, Shreevats Goswami, Ricky Bhui, Sachin Baby, Shikhar Dhawan, Manish Pandey, Alex Hales, Bipul Sharma, Shakib Al Hasan, Deepak Hooda, Yusuf Pathan, Carlos Brathwaite, Mohammad Nabi, Rashid Khan, Chris Jordan, Khaleel Ahmed, Sandeep Sharma, Basil Thampi, Billy Stanlake, Bhuvneshwar Kumar, T Natarajan, Siddharth Kaul"
2019,"Kane Williamson, Wriddhiman Saha, Ricky Bhui, Jonny Bairstow, Shreevats Goswami, David Warner, Martin Guptill, Manish Pandey, Yusuf Pathan, Shakib Al Hasan, Mohammad Nabi, Abhishek Sharma, Deepak Hooda, Vijay Shankar, Rashid Khan, Basil Thampi, Billy Stanlake, Khaleel Ahmed, Bhuvneshwar Kumar, T Natarajan, Sandeep Sharma, Shahbaz Nadeem, Siddharth Kaul"
2020,"Wriddhiman Saha, Shreevats Goswami, Jonny Bairstow, Sanjay Yadav, David Warner, Virat Singh, Kane Williamson, Manish Pandey, Priyam Garg, Abdul Samad, Mitchell Marsh, Mohammad Nabi, Fabian Allen, Abhishek Sharma, Sandeep Bavanaka, Jason Holder, Vijay Shankar, Rashid Khan, Khaleel Ahmed, Sandeep Sharma, Basil Thampi, Billy Stanlake, Bhuvneshwar Kumar, T Natarajan, Shahbaz Nadeem, Siddharth Kaul, Prithvi Raj Yarra"
2021,"Kane Williamson, Wriddhiman Saha, Shreevats Goswami, Jonny Bairstow, Sherfane Rutherford, David Warner, Jason Roy, Virat Singh, Manish Pandey, Priyam Garg, Abdul Samad, Kedar Jadhav, Mohammad Nabi, Abhishek Sharma, Jason Holder, Vijay Shankar, Rashid Khan, Khaleel Ahmed, Sandeep Sharma, Mujeeb Ur Rahman, Basil Thampi, Umran Malik, Bhuvneshwar Kumar, Jagadeesha Suchith, T Natarajan, Shahbaz Nadeem, Siddharth Kaul"
2022,"Kane Williamson, Aiden Markram, Priyam Garg, Rahul Tripathi, Glenn Phillips, Nicholas Pooran, Vishnu Vinod, Shashank Singh, Abdul Samad, Abhishek Sharma, Marco Jansen, Romario Shepherd, Washington Sundar, Sean Abbott, Shreyas Gopal, Bhuvneshwar Kumar, Fazalhaq Farooqi, Jagadeesha Suchith, Kartik Tyagi, Shushant Mishra, T Natarajan, Umran Malik"
2023,"Aiden Markram, Rahul Tripathi, Glenn Phillips, Harry Brook, Mayank Agarwal, Heinrich Klaasen, Anmolpreet Singh, Upendra Singh Yadav, Abdul Samad, Abhishek Sharma, Marco Jansen, Washington Sundar, Vivrant Sharma, Mayank Dagar, Samarth Vyas, Sanvir Singh, Nitish Kumar Reddy, Bhuvneshwar Kumar, Fazalhaq Farooqi, Kartik Tyagi, T Natarajan, Umran Malik, Akeal Hosein, Adil Rashid, Mayank Markande"
2024,"Aiden Markram, Rahul Tripathi, Glenn Phillips, Mayank Agarwal, Heinrich Klaasen, Anmolpreet Singh, Upendra Singh Yadav, Travis Head, Abdul Samad, Abhishek Sharma, Marco Jansen, Shahbaz Ahamad, Washington Sundar, Sanvir Singh, Nitish Kumar Reddy, Pat Cummins, Akash Singh, Bhuvneshwar Kumar, Fazalhaq Farooqi, Jaydev Unadkat, T Natarajan, Umran Malik, Mayank Markande, Wanindu Hasaranga, Jhathavedh Subramanyan, Vijayakanth Viyaskanth"
2025,"Ishan Kishan, Atharva Taide, Abhinav Manohar, Aniket Verma, Sachin Baby, Heinrich Klaasen, Travis Head, Harshal Patel, Kamindu Mendis, Wiaan Mulder, Abhishek Sharma, Nitish Kumar Reddy, Pat Cummins, Mohammad Shami, Rahul Chahar, Adam Zampa, Simarjeet Singh, Zeeshan Ansari, Jaydev Unadkat, Eshan Malinga"
