Credits,Player Type,Player Name,Team,Fantasy_Score,probability
8.0,BOWL,Harshit Rana,KKR,68,0.8742394708552702
6.5,BAT,Angkrish Raghuvanshi,KKR,93,0.9788699974357751
6.5,BOWL,Vaibhav Arora,KKR,34,0.8865679236157004
5.5,WK,Luvnith Sisodia,KKR,41,0.8525175657504842
6.0,BOWL,Mayank Markande,KKR,41,0.2817878049103226
6.0,BOWL,Chetan Sakariya,KKR,18,0.6130335127905179
7.5,WK,Rahmanullah Gurbaz,KKR,77,0.3819112097029812
6.5,BOWL,Spencer Johnson,KKR,87,0.8355444737757164
9.0,BOWL,Varun Chakravarthy,KKR,59,0.4226312569405961
8.0,BOWL,Anrich Nortje,KKR,37,0.6463597594166903
6.0,ALL,Anukul Sudhakar Roy,KKR,50,0.46634109398401513
7.5,ALL,Ramandeep Singh,KKR,36,0.597898267036828
7.0,BAT,Rovman Powell,KKR,85,0.8975574714298121
7.5,BAT,Rinku Singh,KKR,14,0.06301928931452916
8.0,BAT,Venkatesh Iyer,KKR,96,0.23314669787265907
7.0,ALL,Moeen Ali,KKR,72,0.21248859024149602
8.0,WK,Quinton de Kock,KKR,87,0.09052101627666542
8.5,ALL,Andre Russell,KKR,39,0.24996250684466548
9.0,ALL,Sunil Narine,KKR,40,0.6548874360013093
7.0,BAT,Manish Pandey,KKR,88,0.2900296490599833
7.5,BAT,Ajinkya Rahane,KKR,23,0.5014291602631498
6.0,BOWL,Umran Malik,KKR,98,0.5811063452619368
5.0,BOWL,Abhinandan Singh,RCB,80,0.8078357076314758
5.5,BAT,Swastik Chikara,RCB,27,0.6316046454645609
6.0,ALL,Mohit Rathee,RCB,15,0.866379895240237
6.0,BOWL,Suyash Sharma,RCB,94,0.17290831013782537
7.0,BAT,Jacob Bethell,RCB,44,0.7833138621540938
6.5,BOWL,Rasikh Salam,RCB,80,0.3874376701266308
7.0,BOWL,Yash Dayal,RCB,47,0.438494531474546
6.5,ALL,Manoj Bhandage,RCB,49,0.21982103252813823
7.5,BOWL,Nuwan Thushara,RCB,56,0.879945591272721
7.0,ALL,Romario Shepherd,RCB,31,0.46925578394016065
7.5,BAT,Tim David,RCB,72,0.9504465693681622
7.0,BAT,Devdutt Padikkal,RCB,22,0.29203759331844303
7.5,ALL,Krunal Pandya,RCB,51,0.4643636439092519
8.0,BAT,Rajat Patidar,RCB,73,0.8644028824639031
7.5,WK,Jitesh Sharma,RCB,59,0.6346044184802764
7.5,BOWL,Lungi Ngidi,RCB,37,0.9678126252094238
8.5,WK,Philip Salt,RCB,15,0.40568532272458746
8.0,ALL,Liam Livingstone,RCB,69,0.7631645879839399
8.5,BOWL,Josh Hazlewood,RCB,50,0.5922663875305599
8.0,BOWL,Bhuvneshwar Kumar,RCB,54,0.02095172923447397
7.0,ALL,Swapnil Singh,RCB,15,0.43730270036388597
9.0,BAT,Virat Kohli,RCB,57,0.05569830427611866
