Name,ID,Team
Tom Banton,877051,Colombo Stars
Dinesh Chandimal,300628,Colombo Stars
Jehan Daniel,927631,Colombo Stars
Pathum Nissanka,1028655,Colombo Stars
Kusal Perera,300631,Colombo Stars
Sherfane Rutherford,914541,Colombo Stars
Angelo Mathews,49764,Colombo Stars
Akila Dananjaya,574178,Colombo Stars
Dhananjaya de Silva,465793,Colombo Stars
Thikshila de Silva,807469,Colombo Stars
Ravindu Fernando,1217156,Colombo Stars
Keemo Paul,677081,Colombo Stars
Seekkuge Prasanna,268740,Colombo Stars
Ashan Priyanjan,233802,Colombo Stars
David Wiese,221140,Colombo Stars
Dushmantha Chameera,552152,Colombo Stars
Shiran Fernando,949991,Colombo Stars
Naveen-ul-Haq,793447,Colombo Stars
Himesh Ramanayake,824537,Colombo Stars
Ravi Rampaul,52912,Colombo Stars
Lakshan Sandakan,429738,Colombo Stars
Jeffrey Vandersay,370040,Colombo Stars
Niroshan Dickwella,429754,Dambulla Giants
Nuwanidu Fernando,1074333,Dambulla Giants
Lahiru Udara,704693,Dambulla Giants
Muditha Lakshan,985497,Dambulla Giants
Dilshan Munaweera,304735,Dambulla Giants
Najibullah Zadran,524049,Dambulla Giants
Phil Salt,669365,Dambulla Giants
Sacha De Alwis,307195,Dambulla Giants
Sohaib Maqsood,43266,Dambulla Giants
Rilee Rossouw,318845,Dambulla Giants
Dasun Shanaka,437316,Dambulla Giants
Chamikara Edirisinghe,414677,Dambulla Giants
Sachitha Jayatilake,727399,Dambulla Giants
Chamika Karunaratne,623695,Dambulla Giants
Janith Liyanage,681681,Dambulla Giants
Ramesh Mendis,629084,Dambulla Giants
Tharindu Rathnayake,950405,Dambulla Giants
Madushan Ravichandrakumar,623624,Dambulla Giants
Odean Smith,820691,Dambulla Giants
Marchant de Lange,393279,Dambulla Giants
Imran Tahir,40618,Dambulla Giants
Josh Little,928067,Dambulla Giants
Kalana Perera,1152432,Dambulla Giants
Nuwan Pradeep,324358,Dambulla Giants
Bhanuka Rajapaksa,342619,Galle Gladiators
Ben Dunk,388678,Galle Gladiators
Angelo Jayasinghe,437318,Galle Gladiators
Kusal Mendis,629074,Galle Gladiators
Mohammed Shamaaz,1162436,Galle Gladiators
Sadeera Samarawickrama,629076,Galle Gladiators
Danushka Gunathilaka,345821,Galle Gladiators
Kevin Koththigoda,792529,Galle Gladiators
Dhananjaya Lakshan,792519,Galle Gladiators
Suminda Lakshan,1077063,Galle Gladiators
Lahiru Madushanka,428366,Galle Gladiators
Mohammad Hafeez,41434,Galle Gladiators
Samit Patel,18632,Galle Gladiators
Pulina Tharanga,508964,Galle Gladiators
Isuru Udana,328026,Galle Gladiators
Anwar Ali,232491,Galle Gladiators
Ashian Daniel,1162381,Galle Gladiators
Mohammad Amir,290948,Galle Gladiators
Noor Ahmad,1182529,Galle Gladiators
Nuwan Thushara,955235,Galle Gladiators
Dilshan Madushanka,793007,Galle Gladiators
Tabraiz Shamsi,379145,Galle Gladiators
Krishan Sanjula,1072453,Jaffna Kings
Sammu Ashan,786645,Jaffna Kings
Ashen Bandara,958691,Jaffna Kings
Avishka Fernando,784369,Jaffna Kings
Tom Kohler-Cadmore,470633,Jaffna Kings
Rahmanullah Gurbaz,974087,Jaffna Kings
Ashan Randika,1082298,Jaffna Kings
Upul Tharanga,50747,Jaffna Kings
Faf du Plessis,44828,Jaffna Kings
Thisara Perera,233514,Jaffna Kings
Chaturanga de Silva,345825,Jaffna Kings
Theivendiram Dinoshan,1194751,Jaffna Kings
Shoaib Malik,42657,Jaffna Kings
Chamika Gunasekara,1210293,Jaffna Kings
Praveen Jayawickrama,1028665,Jaffna Kings
Suranga Lakmal,49619,Jaffna Kings
Jayden Seales,1199304,Jaffna Kings
Rathnaraja Thanuradan,1292148,Jaffna Kings
Maheesh Theekshana,1138316,Jaffna Kings
Usman Shinwari,697279,Jaffna Kings
Vijayakanth Viyaskanth,1153149,Jaffna Kings
Wahab Riaz,43590,Jaffna Kings
Ahmed Shehzad,259410,Kandy Warriors
Minod Bhanuka,629075,Kandy Warriors
Asela Gunaratne,360456,Kandy Warriors
Kennar Lewis,537319,Kandy Warriors
Kamil Mishara,1075863,Kandy Warriors
Rovman Powell,820351,Kandy Warriors
Devon Thomas,248920,Kandy Warriors
Cameron Delport,322810,Kandy Warriors
Udara Jayasundera,345822,Kandy Warriors
Angelo Perera,300629,Kandy Warriors
Charith Asalanka,784367,Kandy Warriors
Ishan Jayaratne,301871,Kandy Warriors
Kamindu Mendis,784373,Kandy Warriors
Tillakaratne Sampath,50737,Kandy Warriors
Milinda Siriwardana,222354,Kandy Warriors
Ayana Siriwardhana,792221,Kandy Warriors
Nimesh Vimukthi,1070154,Kandy Warriors
Samiullah Shinwari,318339,Kandy Warriors
Al-Amin Hossain,511532,Kandy Warriors
Sachindu Colombage,1175296,Kandy Warriors
Shashika Dulshan,1152430,Kandy Warriors
Binura Fernando,629080,Kandy Warriors
Lahiru Kumara,784375,Kandy Warriors
Kalhara Senarathne,1152433,Kandy Warriors
Shiraz Ahmed,1206625,Kandy Warriors
Mohammad Irfan,429981,Kandy Warriors
