ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder,Extracted_IDs
436757,6,0.0,2,1,Gauteng,Centurion,2012-01-08,field,day,1,39,0,1.326,8.29,26.57,1.162,8.31,24.67,0.767,8.34,26.25,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,27.8,17.2,11.6,14.6,63.0,Tournament,2,
436757,6,188.8888889,2,1,Gauteng,Centurion,2012-01-08,field,day,1,39,0,1.326,8.29,26.57,1.162,8.31,24.67,0.767,8.34,26.25,17.0,1,0,0,0,1.9655,1.9655,2.3684,2.1229,27.8,17.2,11.6,14.6,63.0,Tournament,2,
436757,6,188.8888889,1,0,Free State,Pretoria,2012-01-15,field,day,0,28,0,1.0,6.59,22.0,2.0,6.38,18.23,2.0,6.38,25.53,17.0,2,0,0,0,1.9655,1.9655,1.3382,1.0927,27.3,16.2,0.0,20.0,3.0,Tournament,2,
436757,6,140.5405405,1,0,Free State,Pretoria,2012-01-15,field,day,0,28,0,1.0,6.59,22.0,2.0,6.38,18.23,2.0,6.38,25.53,26.0,3,0,0,0,2.3917,2.3917,2.2174,1.9719,27.3,16.2,0.0,20.0,3.0,Tournament,2,
436757,6,125.0,1,0,Border,Pretoria,2013-01-27,field,day,0,10,0,1.0,6.59,22.0,2.0,6.38,18.23,2.0,6.38,25.53,35.0,4,0,0,0,2.8179,2.8179,3.3264,1.0927,31.3,17.5,0.1,14.0,51.0,Other,3,
436757,6,124.5901639,1,0,Border,Pretoria,2013-01-27,field,day,0,10,0,1.0,6.59,22.0,2.0,6.38,18.23,2.0,6.38,25.53,38.0,5,0,0,0,2.8179,3.0745,4.0092,1.6967,31.3,17.5,0.1,14.0,51.0,Other,3,
436757,6,124.2424242,2,0,KZ-Natal,Pretoria,2013-02-03,field,day,1,22,0,1.0,6.59,22.0,0.5,6.43,25.53,2.0,6.43,18.23,41.0,6,0,0,0,3.2441,3.5007,4.4168,1.0927,32.2,15.4,0.7,18.8,53.0,Other,3,321777
436757,6,121.5189873,2,0,KZ-Natal,Pretoria,2013-02-03,field,day,1,22,0,1.0,6.59,22.0,0.5,6.43,25.53,2.0,6.43,18.23,48.0,7,0,0,0,3.2441,3.5007,4.6734,2.1229,32.2,15.4,0.7,18.8,53.0,Other,3,321777
436757,6,118.8679245,1,1,KZN-Inland,Pietermaritzburg,2013-02-24,field,day,0,26,0,0.9,7.78,22.49,1.5,8.07,19.8,1.533,7.96,26.25,42.0,9,0,0,0,3.2441,3.5007,2.3684,2.1229,21.7,17.1,0.5,12.4,51.0,Other,3,
436757,6,119.5652174,1,1,KZN-Inland,Pietermaritzburg,2013-02-24,field,day,0,26,0,0.9,7.78,22.49,1.5,8.07,19.8,1.533,7.96,26.25,55.0,8,0,0,0,3.2441,3.5007,1.3382,1.0927,21.7,17.1,0.5,12.4,51.0,Other,3,
436757,6,118.3333333,1,1,S West D,Oudtshoorn,2013-03-03,bat,day,1,-1,0,0.937,7.26,23.01,0.75,7.18,21.7,0.823,7.28,20.34,35.5,10,0,0,0,2.8179,3.0745,1.3382,1.0927,32.0,12.1,0.0,21.7,0.0,Other,3,
436757,6,116.2601626,1,1,S West D,Oudtshoorn,2013-03-03,bat,day,1,-1,0,0.937,7.26,23.01,0.75,7.18,21.7,0.823,7.28,20.34,28.6,11,0,0,0,2.3917,2.6483,1.3382,1.0927,32.0,12.1,0.0,21.7,0.0,Other,3,
436757,6,114.2857143,1,0,Boland,Paarl,2013-03-10,bat,day,1,1,0,1.128,7.42,25.94,0.6,7.41,27.39,0.693,7.43,24.17,24.0,12,0,0,0,2.3917,2.2221,1.3382,1.0927,32.0,12.7,0.0,16.6,1.0,Other,2,
436757,6,113.28125,1,0,Boland,Paarl,2013-03-10,bat,day,1,1,0,1.128,7.42,25.94,0.6,7.41,27.39,0.693,7.43,24.17,24.16666667,13,0,0,0,2.3917,1.6449,1.4892,1.2437,32.0,12.7,0.0,16.6,1.0,Other,2,
436757,6,112.3076923,1,1,E. Province,Pretoria,2013-03-24,field,day,0,-4,0,1.0,6.59,22.0,2.0,6.38,18.23,2.0,6.38,25.53,24.33333333,14,0,0,0,2.3917,1.6449,4.6734,1.0927,28.1,16.9,0.6,16.6,51.0,Other,3,
436757,6,111.4503817,1,1,E. Province,Pretoria,2013-03-24,field,day,0,-4,0,1.0,6.59,22.0,2.0,6.38,18.23,2.0,6.38,25.53,20.85714286,15,0,0,1,2.3917,1.1919,4.6734,1.0927,28.1,16.9,0.6,16.6,51.0,Other,3,
436757,6,110.1449275,1,1,North West,Potchefstroom,2014-03-30,bat,day,1,10,0,1.189,7.6,23.55,0.75,7.56,25.66,1.076,7.87,24.68,16.88888889,17,0,0,2,1.9655,1.4611,1.9422,1.6967,25.7,13.7,0.0,13.6,2.0,Tournament,2,
436757,6,110.6060606,1,1,North West,Potchefstroom,2014-03-30,bat,day,1,10,0,1.189,7.6,23.55,0.75,7.56,25.66,1.076,7.87,24.68,18.25,16,0,0,2,1.9655,1.1591,1.3382,1.0927,25.7,13.7,0.0,13.6,2.0,Tournament,2,
436757,6,109.7222222,1,1,Free State,Bloemfontein,2014-11-02,field,day,0,5,0,0.974,7.45,24.2,0.869,7.47,24.44,1.194,7.59,25.11,15.8,18,0,0,2,1.9655,1.6121,1.3382,2.8243,20.6,13.7,10.6,18.2,61.0,Tournament,2,600498
436757,6,108.0536913,1,1,Free State,Bloemfontein,2014-11-02,field,day,0,5,0,0.974,7.45,24.2,0.869,7.47,24.44,1.194,7.59,25.11,14.63636364,19,0,0,2,1.9655,1.4611,1.6402,3.0809,20.6,13.7,10.6,18.2,61.0,Tournament,2,600498
436757,6,106.4935065,1,1,Lions,Benoni,2014-11-21,field,daynight,0,37,0,1.076,7.59,25.48,0.914,7.3,20.56,0.785,7.06,20.28,13.66666667,20,0,0,2,1.9655,1.4939,1.3382,1.0927,26.2,11.2,0.1,19.9,51.0,Tournament,3,
436757,6,111.875,1,1,Lions,Benoni,2014-11-21,field,daynight,0,37,0,1.076,7.59,25.48,0.914,7.3,20.56,0.785,7.06,20.28,13.76923077,21,0,0,2,1.9655,1.7959,2.3684,2.1229,26.2,11.2,0.1,19.9,51.0,Tournament,3,
436757,6,116.8674699,1,1,Dolphins,Benoni,2014-11-26,bat,daynight,1,39,0,1.076,7.59,25.48,0.571,6.58,22.59,0.785,7.06,20.28,13.85714286,22,0,0,2,1.9655,1.7959,2.625,1.0927,26.5,13.2,4.3,19.5,61.0,Tournament,2,
436757,6,119.6629213,1,1,Dolphins,Benoni,2014-11-26,bat,daynight,1,39,0,1.076,7.59,25.48,0.571,6.58,22.59,0.785,7.06,20.28,14.2,23,0,0,2,1.9655,2.2221,2.8816,2.1229,26.5,13.2,4.3,19.5,61.0,Tournament,2,
