MatchDate,MatchLink,Latitude,Longitude,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode
2007-09-20,https://www.espncricinfo.com/ci/engine/match/287876.html,-29.8587,31.0292,28.2,16.6,0,27,2
2007-09-22,https://www.espncricinfo.com/ci/engine/match/287878.html,-29.8587,31.0292,22.8,18.3,0,30.1,3
2007-09-24,https://www.espncricinfo.com/ci/engine/match/287879.html,-26.2041,28.0473,26.5,10.5,0,28,0
2008-02-01,https://www.espncricinfo.com/ci/engine/match/291356.html,-37.8136,144.9631,24,13.5,0,21,1
2009-02-10,https://www.espncricinfo.com/ci/engine/match/386535.html,6.9344,79.8538,30.9,21.9,0,17.7,3
2009-02-25,https://www.espncricinfo.com/ci/engine/match/386494.html,-43.5321,172.6362,16.5,10.3,0.1,19.6,51
2009-06-06,https://www.espncricinfo.com/ci/engine/match/355994.html,52.9548,-1.1581,12.1,8.4,14.5,26.9,61
2009-06-10,https://www.espncricinfo.com/ci/engine/match/356001.html,52.9548,-1.1581,16.7,7.6,2.3,16,53
2009-06-12,https://www.espncricinfo.com/ci/engine/match/356006.html,51.5293,-0.1722,17.7,7.3,0,9.7,3
2009-06-14,https://www.espncricinfo.com/ci/engine/match/356010.html,51.5293,-0.1722,20.7,10.6,0,9.4,3
2009-06-16,https://www.espncricinfo.com/ci/engine/match/356014.html,52.9548,-1.1581,18.7,9.9,0.4,12.2,51
2009-12-09,https://www.espncricinfo.com/ci/engine/match/430884.html,21.1458,79.0882,29.5,16.1,0,9.7,2
2010-05-07,https://www.espncricinfo.com/ci/engine/match/412691.html,13.1132,-59.5988,29.4,26.6,0,26.7,2
2010-05-09,https://www.espncricinfo.com/ci/engine/match/412695.html,13.1132,-59.5988,29.1,25.3,0.6,26.8,51
2010-06-12,https://www.espncricinfo.com/ci/engine/match/452153.html,-17.8252,31.0335,19.4,11.4,0,15.2,3
2010-06-13,https://www.espncricinfo.com/ci/engine/match/452154.html,-17.8252,31.0335,21.2,9.3,0,7.7,3
2011-01-09,https://www.espncricinfo.com/ci/engine/match/463149.html,-29.8587,31.0292,27.2,22.9,0,18.9,3
2011-06-04,https://www.espncricinfo.com/ci/engine/match/489220.html,10.6549,-61.5019,28.8,25,10.2,11.1,63
2011-08-31,https://www.espncricinfo.com/ci/engine/match/474476.html,53.4808,-2.2426,16.3,9.5,0.1,6.5,51
2012-02-01,https://www.espncricinfo.com/ci/engine/match/518954.html,-33.8688,151.2093,20.5,18.6,16.6,24.9,61
2012-09-11,https://www.espncricinfo.com/ci/engine/match/565820.html,13.0827,80.2707,34.1,26.6,0.2,18.4,51
2012-09-19,https://www.espncricinfo.com/ci/engine/match/533274.html,6.9344,79.8538,29.4,24.7,2.3,13.2,53
2012-09-23,https://www.espncricinfo.com/ci/engine/match/533281.html,6.9344,79.8538,29,24.1,5.9,16.6,53
