MatchDate,MatchLink,Latitude,Longitude,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,error
2012-03-30,https://www.espncricinfo.com/ci/engine/match/556252.html,-26.2041,28.0473,22.6,11.0,14.7,19.1,63.0,
2024-12-05,https://www.espncricinfo.com/ci/engine/match/1446083.html,22.3039,70.8022,31.3,19.6,0.0,12.3,3.0,
2014-04-11,https://www.espncricinfo.com/ci/engine/match/730945.html,18.9388,72.8258,34.4,21.7,0.0,15.8,0.0,
2022-10-12,https://www.espncricinfo.com/ci/engine/match/1332955.html,26.8467,80.9462,30.0,21.1,0.1,10.0,51.0,
2023-10-16,https://www.espncricinfo.com/ci/engine/match/1383441.html,19.076,72.8777,33.1,24.0,0.0,15.5,3.0,
2023-10-17,https://www.espncricinfo.com/ci/engine/match/1383459.html,19.0434,73.0243,33.2,24.8,0.2,8.9,51.0,
2011-10-24,https://www.espncricinfo.com/ci/engine/match/526300.html,22.7196,75.8577,32.3,18.3,0.0,9.4,1.0,
2013-05-04,https://www.espncricinfo.com/ci/engine/match/598044.html,17.385,78.4867,41.3,27.7,0.0,21.6,1.0,
2013-09-18,https://www.espncricinfo.com/ci/engine/match/654335.html,30.7056,76.7186,32.9,19.1,0.0,10.7,0.0,
2013-09-20,https://www.espncricinfo.com/ci/engine/match/654339.html,30.7056,76.7186,33.9,21.5,0.1,14.8,51.0,
2022-10-12,https://www.espncricinfo.com/ci/engine/match/1332945.html,22.3039,70.8022,35.0,24.4,0.0,12.0,3.0,
2023-10-16,https://www.espncricinfo.com/ci/engine/match/1383445.html,23.3441,85.3096,29.3,18.3,0.0,10.1,0.0,
2016-01-10,https://www.espncricinfo.com/ci/engine/match/914219.html,-36.8485,174.7633,20.3,17.2,0.1,28.1,51.0,
2016-01-17,https://www.espncricinfo.com/ci/engine/match/914223.html,-37.787,175.2793,25.6,13.1,3.5,17.7,55.0,
2016-03-22,https://www.espncricinfo.com/ci/engine/match/951349.html,30.7056,76.7186,27.0,13.1,0.0,25.2,0.0,
2017-01-03,https://www.espncricinfo.com/ci/engine/match/1019979.html,-39.4928,176.912,26.3,15.4,7.8,30.8,61.0,
2017-01-08,https://www.espncricinfo.com/ci/engine/match/1019983.html,-37.6393,176.1816,22.0,13.7,0.0,32.9,3.0,
2020-11-30,https://www.espncricinfo.com/ci/engine/match/1233956.html,-37.6393,176.1816,18.2,13.5,7.1,26.1,61.0,
2022-07-29,https://www.espncricinfo.com/ci/engine/match/1307478.html,55.9533,-3.1883,20.8,13.4,0.8,18.6,51.0,
