MatchLink,TossWonTeam,TossResult,Series,MatchTime,Team1,Team2,Result,Team1Score,Team1Wickets,Team2Score,Team2Wickets
https://www.espncricinfo.com/ci/engine/match/1094685.html,St Lucia Stars,bat,Caribbean Premier League,night,St Lucia Stars,Jamaica Tallawahs,Tallawahs won by 5 wickets (with 2 balls remaining),173,7,179,5
https://www.espncricinfo.com/ci/engine/match/1094686.html,Guyana Amazon Warriors,field,Caribbean Premier League,night,Jamaica Tallawahs,Guyana Amazon Warriors,Tallawahs won by 2 runs,128,7,126,4
https://www.espncricinfo.com/ci/engine/match/1094691.html,Jamaica Tallawahs,field,Caribbean Premier League,night,St Kitts and Nevis Patriots,Jamaica Tallawahs,Patriots won by 37 runs,208,3,171,7
https://www.espncricinfo.com/ci/engine/match/1094694.html,Jamaica Tallawahs,field,Caribbean Premier League,night,St Lucia Stars,Jamaica Tallawahs,Tallawahs won by 6 wickets (with 6 balls remaining),172,8,176,4
https://www.espncricinfo.com/ci/engine/match/1094695.html,Jamaica Tallawahs,field,Caribbean Premier League,night,Trinbago Knight Riders,Jamaica Tallawahs,Trinbago won by 36 runs,208,6,172,7
https://www.espncricinfo.com/ci/engine/match/1094697.html,St Kitts and Nevis Patriots,field,Caribbean Premier League,night,Jamaica Tallawahs,St Kitts and Nevis Patriots,Tallawahs won by 41 runs,157,5,116,10
https://www.espncricinfo.com/ci/engine/match/1094699.html,Jamaica Tallawahs,bat,Caribbean Premier League,night,Jamaica Tallawahs,Guyana Amazon Warriors,Amazon won by 9 wickets (with 57 balls remaining),149,7,150,1
https://www.espncricinfo.com/ci/engine/match/1094703.html,Guyana Amazon Warriors,field,Caribbean Premier League,night,Jamaica Tallawahs,Guyana Amazon Warriors,Amazon won by 5 wickets (with 13 balls remaining),168,8,169,5
https://www.espncricinfo.com/ci/engine/match/1148649.html,Jamaica Tallawahs,field,Caribbean Premier League,night,Trinbago Knight Riders,Jamaica Tallawahs,Tallawahs won by 4 wickets (with 3 balls remaining),223,6,225,6
https://www.espncricinfo.com/ci/engine/match/1148653.html,St Lucia Stars,bat,Caribbean Premier League,night,St Lucia Stars,Jamaica Tallawahs,Tallawahs won by 6 wickets (with 2 balls remaining),175,10,176,4
https://www.espncricinfo.com/ci/engine/match/1148654.html,St Kitts and Nevis Patriots,field,Caribbean Premier League,night,Jamaica Tallawahs,St Kitts and Nevis Patriots,Tallawahs won by 47 runs,178,4,131,9
https://www.espncricinfo.com/ci/engine/match/1148657.html,Guyana Amazon Warriors,bat,Caribbean Premier League,night,Guyana Amazon Warriors,Jamaica Tallawahs,Amazon won by 71 runs,209,7,138,10
https://www.espncricinfo.com/ci/engine/match/1148658.html,Trinbago Knight Riders,field,Caribbean Premier League,night,Jamaica Tallawahs,Trinbago Knight Riders,Trinbago won by 4 wickets (with 0 balls remaining),182,5,184,6
https://www.espncricinfo.com/ci/engine/match/1148663.html,Jamaica Tallawahs,bat,Caribbean Premier League,night,Jamaica Tallawahs,St Lucia Stars,Tallawahs won by 21 runs,204,5,183,8
https://www.espncricinfo.com/ci/engine/match/1148666.html,Jamaica Tallawahs,field,Caribbean Premier League,night,Barbados Tridents,Jamaica Tallawahs,Tallawahs won by 5 wickets (with 16 balls remaining),151,9,153,5
https://www.espncricinfo.com/ci/engine/match/1148671.html,St Kitts and Nevis Patriots,field,Caribbean Premier League,night,Jamaica Tallawahs,St Kitts and Nevis Patriots,Patriots won by 7 wickets (with 5 balls remaining) (D/L method),206,6,118,3
https://www.espncricinfo.com/ci/engine/match/1148675.html,Jamaica Tallawahs,field,Caribbean Premier League,night,Guyana Amazon Warriors,Jamaica Tallawahs,Tallawahs won by 8 wickets (with 11 balls remaining),173,6,177,2
https://www.espncricinfo.com/ci/engine/match/1148678.html,St Kitts and Nevis Patriots,field,Caribbean Premier League,night,Jamaica Tallawahs,St Kitts and Nevis Patriots,Patriots won by 2 wickets (with 1 ball remaining),191,5,193,8
