Player Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gurnoor Singh Brar,,,,,,,,,,,,,,,,PK,,GT
Nishant Sindhu,,,,,,,,,,,,,,,,CSK,CSK,GT
Karim Janat,,,,,,,,,,,,,,,,,,GT
Lockie Ferguson,,,,,,,,,,,,KKR,KKR,KKR,GT,KKR,RCB,PK
Shubman Gill,,,,,,,,,,,KKR,KKR,KKR,KKR,GT,GT,GT,GT
Prasidh Krishna,,,,,,,,,,,KKR,KKR,KKR,KKR,RR,RR,,GT
Abhinav Manohar,,,,,,,,,,,,,,,GT,GT,GT,SRH
Shahrukh Khan,,,,,,,,,,,,,,PK,PK,PK,GT,GT
Rahmanullah Gurbaz,,,,,,,,,,,,,,,GT,KKR,KKR,KKR
Sai Kishore,,,,,,,,,,,,,CSK,CSK,GT,GT,GT,GT
Noor Ahmad,,,,,,,,,,,,,,,GT,GT,GT,CSK
Azmatullah Omarzai,,,,,,,,,,,,,,,,,GT,PK
Washington Sundar,,,,,,,,,,,RCB,RCB,RCB,RCB,SRH,SRH,SRH,GT
Glenn Phillips,,,,,,,,,,,,,,RR,SRH,SRH,SRH,GT
Yash Dayal,,,,,,,,,,,,,,,GT,GT,RCB,RCB
Vijay Shankar,,,,,,CSK,CSK,,SRH,SRH,DC,SRH,SRH,SRH,GT,GT,GT,CSK
Kulwant Khejroliya,,,,,,,,,,MI,RCB,RCB,,DC,,KKR,,GT
Kumar Kushagra,,,,,,,,,,,,,,,,,DC,GT
Mohammed Shami,,,,KKR,KKR,KKR,DC,DC,DC,DC,DC,PK,PK,PK,GT,GT,GT,SRH
Sai Sudharsan,,,,,,,,,,,,,,,GT,GT,GT,GT
Spencer Johnson,,,,,,,,,,,,,,,,,GT,KKR
Rahul Tewatia,,,,,,,RR,RR,,PK,DC,DC,RR,RR,GT,GT,GT,GT
Hardik Pandya,,,,,,,,MI,MI,MI,MI,MI,MI,MI,GT,GT,MI,MI
David Miller,,,,PK,PK,PK,PK,PK,PK,PK,PK,PK,RR,RR,GT,GT,GT,LSG
Gerald Coetzee,,,,,,,,,,,,,,,,,MI,GT
