Player Name,2011,2012,2013,2018,2019,2020,2021,2022,2023,2024
Wes Agar,,,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Sydney Thunder
Cameron Boyce,,Adelaide Strikers,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
Alex Carey,,,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
Travis Head,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
Henry Hunt,,,,,,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,
Thomas Kelly,,,,,,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
Ben Manenti,,,,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,Sydney Sixers
Henry Thornton,,,,,,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
Jake Weatherald,,,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
James Bazley,,,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Adelaide Strikers,Adelaide Strikers
Brendan Doggett,,,,Brisbane Heat,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Adelaide Strikers,Adelaide Strikers
Rashid Khan,,,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,
Jamie Overton,,,,,,,,,Adelaide Strikers,Adelaide Strikers
D'Arcy Short,,,,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers
Matthew Short,,,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
Chris Lynn,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
Adam Hose,,,,,,,,Adelaide Strikers,Adelaide Strikers,
Harry Nielsen,,,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
David Payne,,,,,,,,Perth Scorchers,Adelaide Strikers,
Lloyd Pope,,,,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,,Adelaide Strikers,Adelaide Strikers
Max Bryant,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
Spencer Johnson,,,,,,Adelaide Strikers,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Brisbane Heat
Usman Khawaja,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Brisbane Heat,Brisbane Heat,Brisbane Heat
Michael Neser,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
Jimmy Peirson,,,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
Will Prestwidge,,,,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
Matt Renshaw,,,,Brisbane Heat,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Brisbane Heat
Colin Munro,,,,,,Perth Scorchers,Perth Scorchers,Brisbane Heat,Brisbane Heat,Brisbane Heat
Sam Billings,,,,,,Sydney Thunder,,Brisbane Heat,Brisbane Heat,Sydney Thunder
Paul Walter,,,,,,,,,Brisbane Heat,Brisbane Heat
Xavier Bartlett,,,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
Josh Brown,,,,,,,,Brisbane Heat,Brisbane Heat,Melbourne Renegades
Matthew Kuhnemann,,,,Brisbane Heat,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
Marnus Labuschagne,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
Nathan McSweeney,,,,,Melbourne Renegades,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
Mitchell Swepson,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
