Player Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Kane Williamson,,,,,,,,SRH,SRH,SRH,SRH,SRH,SRH,SRH,SRH,GT,GT,
Umesh Yadav,,,DC,DC,DC,DC,KKR,KKR,KKR,KKR,RCB,RCB,RCB,DC,KKR,KKR,GT,
Gurnoor Singh Brar,,,,,,,,,,,,,,,,PK,,GT
BR Sharath,,,,,,,,,,,,,,,,,GT,
Nishant Sindhu,,,,,,,,,,,,,,,,CSK,CSK,GT
Karim Janat,,,,,,,,,,,,,,,,,,GT
Dasun shanaka,,,,,,,,,,,,,,,,GT,,
Lockie Ferguson,,,,,,,,,,,,KKR,KKR,KKR,GT,KKR,RCB,PK
Shubman Gill,,,,,,,,,,,KKR,KKR,KKR,KKR,GT,GT,GT,GT
Dominic Drakes,,,,,,,,,,,,,,CSK,GT,,,
Pradeep Sangwan,DC,DC,DC,KKR,KKR,KKR,,,,,MI,,,,GT,GT,,
Prasidh Krishna,,,,,,,,,,,KKR,KKR,KKR,KKR,RR,RR,,GT
Shivam Mavi,,,,,,,,,,,KKR,,KKR,KKR,KKR,GT,LSG,
Abhinav Manohar,,,,,,,,,,,,,,,GT,GT,GT,SRH
Shahrukh Khan,,,,,,,,,,,,,,PK,PK,PK,GT,GT
Odean Smith,,,,,,,,,,,,,,,PK,GT,,
Rahmanullah Gurbaz,,,,,,,,,,,,,,,GT,KKR,KKR,KKR
Gurkeerat Mann Singh,,,,,PK,PK,PK,PK,PK,PK,DC,RCB,RCB,KKR,GT,,,
Sai Kishore,,,,,,,,,,,,,CSK,CSK,GT,GT,GT,GT
Gurnoor Brar,,,,,,,,,,,,,,,,,GT,
Matthew Wade,,,,DC,,,,,,,,,,,GT,GT,GT,
Noor Ahmad,,,,,,,,,,,,,,,GT,GT,GT,CSK
Azmatullah Omarzai,,,,,,,,,,,,,,,,,GT,PK
Washington Sundar,,,,,,,,,,,RCB,RCB,RCB,RCB,SRH,SRH,SRH,GT
K.S Bharat,,,,,,,,DC,,,,,,RCB,DC,GT,KKR,
Glenn Phillips,,,,,,,,,,,,,,RR,SRH,SRH,SRH,GT
Yash Dayal,,,,,,,,,,,,,,,GT,GT,RCB,RCB
Vijay Shankar,,,,,,CSK,CSK,,SRH,SRH,DC,SRH,SRH,SRH,GT,GT,GT,CSK
Kulwant Khejroliya,,,,,,,,,,MI,RCB,RCB,,DC,,KKR,,GT
Kumar Kushagra,,,,,,,,,,,,,,,,,DC,GT
Mohammed Shami,,,,KKR,KKR,KKR,DC,DC,DC,DC,DC,PK,PK,PK,GT,GT,GT,SRH
Sai Sudharsan,,,,,,,,,,,,,,,GT,GT,GT,GT
Sandeep Warrier,,,,,,RCB,RCB,RCB,,,,KKR,KKR,KKR,,MI,GT,
Spencer Johnson,,,,,,,,,,,,,,,,,GT,KKR
Joshua Little,,,,,,,,,,,,,,,,GT,GT,
Rahul Tewatia,,,,,,,RR,RR,,PK,DC,DC,RR,RR,GT,GT,GT,GT
Hardik Pandya,,,,,,,,MI,MI,MI,MI,MI,MI,MI,GT,GT,MI,MI
Sushant Mishra,,,,,,,,,,,,,,,,,GT,
Urvil Patel,,,,,,,,,,,,,,,,GT,,
David Miller,,,,PK,PK,PK,PK,PK,PK,PK,PK,PK,RR,RR,GT,GT,GT,LSG
Gerald Coetzee,,,,,,,,,,,,,,,,,MI,GT
Alzarri Joseph,,,,,,,,,,,,MI,,,GT,GT,RCB,
Darshan Nalkande,,,,,,,,,,,,PK,PK,PK,GT,GT,GT,DC
Rashid Khan,,,,,,,,,,SRH,SRH,SRH,SRH,SRH,GT,GT,GT,GT
Kartik Tyagi,,,,,,,,,,,,,RR,RR,SRH,SRH,GT,
Jayant Yadav,,,,,,,DC,DC,DC,DC,DC,MI,MI,MI,GT,GT,GT,GT
Manav Suthar,,,,,,,,,,,,,,,,,GT,GT
Anuj Rawat,,,,,,,,,,,,,RR,RR,RCB,RCB,RCB,GT
Wriddhiman Saha,KKR,KKR,KKR,CSK,CSK,CSK,PK,PK,PK,PK,SRH,SRH,SRH,SRH,GT,GT,GT,
Sherfane Rutherford,,,,,,,,,,,,DC,MI,SRH,RCB,,KKR,GT
Arshad Khan,,,,,,,,,,,,,,,MI,MI,LSG,GT
Kagiso Rabada,,,,,,,,,,DC,,DC,DC,DC,PK,PK,PK,GT
Mohammed Siraj,,,,,,,,,,SRH,RCB,RCB,RCB,RCB,RCB,RCB,RCB,GT
Ishant Sharma,KKR,KKR,KKR,,,SRH,SRH,SRH,,PK,,DC,DC,DC,,DC,DC,GT
Varun Aaron,,,KKR,DC,DC,DC,RCB,RCB,RCB,PK,,RR,RR,,GT,,,
Mahipal Lomror,,,,,,,,,DC,,RR,RR,RR,RR,RCB,RCB,RCB,GT
Mohit Sharma,,,,,,CSK,CSK,CSK,PK,PK,PK,CSK,DC,,,GT,GT,DC
Jos Buttler,,,,,,,,,MI,MI,RR,RR,RR,RR,RR,RR,RR,GT
Rinku Singh,,,,,,,,,,PK,KKR,KKR,KKR,,KKR,KKR,KKR,KKR
Arshdeep Singh,,,,,,,,,,,,PK,PK,PK,PK,PK,PK,PK
Hardus Viljoen,,,,,,,,,,,,PK,PK,,,,,
Rajagopal Sathish,,,MI,MI,PK,PK,,,KKR,,,,,,,,,
Dinesh Karthik,DC,DC,DC,PK,MI,MI,DC,RCB,,,KKR,KKR,KKR,KKR,RCB,RCB,RCB,
