Name,ID,Team Name
Asif Ali,494230,Islamabad United
Azam Khan,1137262,Islamabad United
Alex Hales,249866,Islamabad United
Colin Munro,232359,Islamabad United
Rahmanullah Gurbaz,974087,Islamabad United
Sohaib Maqsood,43266,Islamabad United
Shadab Khan,922943,Islamabad United
Moeen Ali,8917,Islamabad United
Faheem Ashraf,681117,Islamabad United
Mubasir Khan,1217487,Islamabad United
Paul Stirling,303427,Islamabad United
Zeeshan Zameer,1249881,Islamabad United
Abrar Ahmed,734459,Islamabad United
Fazalhaq Farooqi,974175,Islamabad United
Hasan Ali,681305,Islamabad United
Mohammad Wasim,1185538,Islamabad United
Rumman Raees,448243,Islamabad United
Rachel Gnanaraj,1329695,Islamabad United
Haider Ali,1168651,Karachi Kings
Irfan Khan,1199426,Karachi Kings
Muhammad Akhlaq,822485,Karachi Kings
Sharjeel Khan,227762,Karachi Kings
Tayyab Tahir,824159,Karachi Kings
James Vince,296597,Karachi Kings
Matthew Wade,230193,Karachi Kings
Imad Wasim,227758,Karachi Kings
Aamer Yamin,434429,Karachi Kings
James Fuller,451782,Karachi Kings
Qasim Akram,1185475,Karachi Kings
Shoaib Malik,42657,Karachi Kings
Akif Javed,1203669,Karachi Kings
Imran Tahir,40618,Karachi Kings
Mir Hamza,556684,Karachi Kings
Mohammad Amir,290948,Karachi Kings
Mohammad Umar,1158099,Karachi Kings
Tabraiz Shamsi,379145,Karachi Kings
Andrew Tye,459508,Karachi Kings
Abdullah Shafique,922941,Lahore Qalandars
Fakhar Zaman,512191,Lahore Qalandars
Shai Hope,581379,Lahore Qalandars
Dan Lawrence,641423,Lahore Qalandars
Mirza Baig,1331512,Lahore Qalandars
Sahibzada Farhan,647785,Lahore Qalandars
Lorcan Tucker,928057,Lahore Qalandars
Rassie van der Dussen,337790,Lahore Qalandars
Jahandad Khan,1402359,Lahore Qalandars
Kamran Ghulam,623636,Lahore Qalandars
George Linde,481875,Lahore Qalandars
Rashid Khan,793463,Lahore Qalandars
Sikandar Raza,299572,Lahore Qalandars
David Wiese,221140,Lahore Qalandars
Haris Rauf,1161606,Lahore Qalandars
Mohammad Imran,1234111,Lahore Qalandars
Salman Fayyaz,959787,Lahore Qalandars
Shaheen Shah Afridi,1072470,Lahore Qalandars
Syed Faridoun,1291729,Lahore Qalandars
Tayyab Abbas,681051,Lahore Qalandars
Zaman Khan,1272475,Lahore Qalandars
Ahsan Bhatti,926037,Lahore Qalandars
Asif Ali,494230,Peshawar Zalmi
Babar Azam,348144,Peshawar Zalmi
Haseebullah Khan,1171127,Peshawar Zalmi
Tom Kohler-Cadmore,470633,Peshawar Zalmi
Mohammad Haris,1205559,Peshawar Zalmi
Rovman Powell,820351,Peshawar Zalmi
Saim Ayub,1161031,Peshawar Zalmi
Aamer Jamal,793441,Peshawar Zalmi
Dan Mousley,1172968,Peshawar Zalmi
Paul Walter,909225,Peshawar Zalmi
Arif Yaqoob,1410574,Peshawar Zalmi
Khurram Shahzad,1159495,Peshawar Zalmi
Mehran Mumtaz,1076392,Peshawar Zalmi
Mohammad Zeeshan,1294520,Peshawar Zalmi
Naveen-ul-Haq,793447,Peshawar Zalmi
Lungi Ngidi,542023,Peshawar Zalmi
Noor Ahmad,1182529,Peshawar Zalmi
Salman Irshad,781705,Peshawar Zalmi
Sufiyan Muqeem,1329697,Peshawar Zalmi
Waqar Salamkheil,1108490,Peshawar Zalmi
Luke Wood,573170,Peshawar Zalmi
Aimal Khan,1339131,Peshawar Zalmi
Umair Afridi,1406662,Peshawar Zalmi
Bismillah Khan,394868,Quetta Gladiators
Laurie Evans,256956,Quetta Gladiators
Khawaja Nafay,1329699,Quetta Gladiators
Omair Yousuf,1126059,Quetta Gladiators
Rilee Rossouw,318845,Quetta Gladiators
Jason Roy,298438,Quetta Gladiators
Sherfane Rutherford,914541,Quetta Gladiators
Sarfaraz Ahmed,227760,Quetta Gladiators
Saud Shakeel,652687,Quetta Gladiators
Will Smeed,1099224,Quetta Gladiators
Umar Amin,288211,Quetta Gladiators
Abrar Ahmed,734459,Quetta Gladiators
Akeal Hosein,530812,Quetta Gladiators
Mohammad Amir,290948,Quetta Gladiators
Mohammad Hasnain,1158100,Quetta Gladiators
Mohammad Wasim,1185538,Quetta Gladiators
Sohail Khan,317252,Quetta Gladiators
Usman Qadir,348152,Quetta Gladiators
Usman Tariq,1333415,Quetta Gladiators
Adil Naz,1339232,Quetta Gladiators
Sajjad Ali,1398840,Quetta Gladiators
Johnson Charles,333066,Multan Sultans
Reeza Hendricks,269280,Multan Sultans
Iftikhar Ahmed,480603,Multan Sultans
Dawid Malan,236489,Multan Sultans
Mohammad Rizwan,323389,Multan Sultans
Tayyab Tahir,824159,Multan Sultans
Usman Khan,1123428,Multan Sultans
Yasir Khan,1278029,Multan Sultans
Khushdil Shah,716733,Multan Sultans
David Willey,308251,Multan Sultans
Abbas Afridi,1158538,Multan Sultans
Faisal Akram,1171134,Multan Sultans
Ihsanullah,1283740,Multan Sultans
Chris Jordan,288992,Multan Sultans
Mohammad Ali,1158175,Multan Sultans
Shahnawaz Dahani,1203995,Multan Sultans
Olly Stone,457279,Multan Sultans
Reece Topley,461632,Multan Sultans
Usama Mir,647667,Multan Sultans
Aftab Ibrahim,1339113,Multan Sultans
Muhammad Shahzad,1171126,Multan Sultans
