TeamMatchWise,TeamClean,,Team,MappedTeam
St Lucia Stars,South Africa,,Jamaica Tallawahs,Tallawahs
Jamaica Tallawahs,Australia,,St Kitts and Nevis Patriots,Patriots
St Kitts and Nevis Patriots,Pakistan,,Trinbago Knight Riders,Trinbago
Trinbago Knight Riders,Sri Lanka,,Guyana Amazon Warriors,Amazon
Guyana Amazon Warriors,New Zealand,,Barbados Tridents,Tridents
Barbados Tridents,Bangladesh,,Barbados Royals,Royals
St Lucia Zouks,Ireland,,Barbados,Barbados
Lahore Qalandars,West Indies,,St Lucia Zouks,Zouks
Peshawar Zalmi,England,,Lahore Qalandars,Qalandars
Karachi Kings,Zimbabwe,,St Lucia Stars,St Lucia Stars
Islamabad United,Afghanistan,,Peshawar Zalmi,Zalmi
Multan Sultans,U.A.E.,,Karachi Kings,Kings
Barbados Royals,Scotland,,Islamabad United,United
Dambulla Giants,Namibia,,Multan Sultans,Sultans
Kandy Warriors,Hong Kong,,Dambulla Giants,Dambulla
Jaffna Kings,Netherlands,,Colombo Stars,Stars
Delhi Capitals,U.S.A.,,Galle Gladiators,Galle
Royal Challengers Bangalore,Baroda,,Kandy Warriors,Warriors
Rajasthan Royals,Gujarat,,Jaffna Kings,Jaffna Kings
Lucknow Super Giants,Saurashtra,,Delhi Capitals,DC
Chennai Super Kings,Maharashtra,,Royal Challengers Bangalore,RCB
Quetta Gladiators,Tamil Nadu,,Rajasthan Royals,RR
St Lucia Kings,Haryana,,Lucknow Super Giants,LSG
Dubai Capitals,M. Pradesh,,Chennai Super Kings,CSK
Abu Dhabi Knight Riders,Bengal,,Quetta Gladiators,Gladiators
Desert Vipers,KKR,,Dambulla Sixers,Sixers
MI Emirates,Daredevils,,St Lucia Kings,Kings
Sunrisers Hyderabad,RR,,Dubai Capitals,DC
Rockets,Kings XI,,Abu Dhabi Knight Riders,KnightRiders
Trent Rockets (Men),RCB,,Desert Vipers,Vipers
Birmingham Phoenix (Men),CSK,,MI Emirates,MI Emirates
Welsh Fire (Men),MI,,Sunrisers Hyderabad,SRH
Antigua and Barbuda Falcons,Somerset,,Welsh Fire (Men),Fire
India,Trinidad & T,,Rockets,Rockets
Zimbabwe,Warriors,,Trent Rockets (Men),Rockets
Kolkata Knight Riders,Chargers,,Birmingham Phoenix (Men),Phoenix
Mumbai Indians,Kent,,Mumbai Indians,MI
Delhi Daredevils,Leics,,Delhi Daredevils,Daredevils
Kings XI Punjab,Punjab,,Kolkata Knight Riders,KKR
Lions,W. Indies A,,Kings XI Punjab,Kings XI
Goa,Lions,,Goa,Goa
Andhra,Yorkshire,,Andhra,Andhra
Karnataka,Sixers,,Karnataka,Karnataka
Tamil Nadu,SRH,,Tamil Nadu,Tamil Nadu
Pune Warriors,Scorchers,,Pune Warriors,Warriors
Deccan Chargers,Supergiants,,Deccan Chargers,Chargers
Hobart Hurricanes,Guj Lions,,Hobart Hurricanes,Hurricanes
Rising Pune Supergiants,Supergiant,,Rising Pune Supergiants,Supergiants
Rising Pune Supergiant,DC,,Rising Pune Supergiant,Supergiants
Punjab Kings,Punjab Kings,,Punjab Kings,Punjab Kings
England,LSG,,England,England
Perth Scorchers,GT,,Perth Scorchers,Scorchers
Otago,Hyderabad,,Otago,Otago
Gujarat Lions,Lahore Lions,,Gujarat Lions,Guj Lions
Himachal Pradesh,Odisha,,Himachal Pradesh,Himachal
Mumbai,Karnataka,,Mumbai,Mumbai
Royal Challengers Bengaluru,UP,,Royal Challengers Bengaluru,RCB
Jammu & Kashmir,Kerala,,Jammu & Kashmir,J + K
Jharkhand,Vidarbha,,Jharkhand,Jharkhand
Haryana,Jharkhand,,Haryana,Haryana
Delhi,Rajasthan,,Delhi,Delhi
New Zealand,Sikkim,,New Zealand,New Zealand
South Africa,Goa,,South Africa,South Africa
Pakistan,Railways,,Pakistan,Pakistan
Sri Lanka,Delhi,,Sri Lanka,Sri Lanka
Australia,Puducherry,,Australia,Australia
West Indies,Meghalaya,,West Indies,West Indies
Bangladesh,Assam,,Bangladesh,Bangladesh
Netherlands,Andhra,,Netherlands,Netherlands
Afghanistan,Derbyshire,,Afghanistan,Afghanistan
Yorkshire,Northants,,Yorkshire,Yorkshire
Cape Town Blitz,Services,,Cape Town Blitz,Blitz
Jozi Stars,Nepal,,Jozi Stars,Jozi Stars
Paarl Rocks,Uttarakhand,,Paarl Rocks,Paarl Rocks
Nelson Mandela Bay Giants,Chandigarh,,Nelson Mandela Bay Giants,Giants
Southern Brave (Men),Tripura,,Southern Brave (Men),Brave
N S-Chargers,J + K,,N S-Chargers,Chargers
London Spirit (Men),Chhattisgarh,,London Spirit (Men),Spirit
Manchester Originals (Men),Mizoram,,Manchester Originals (Men),Manchester
Joburg Super Kings,Mumbai,,Joburg Super Kings,Super Kings
Durban's Super Giants,Shaheens,,Durban's Super Giants,Super Giants
Paarl Royals,Oman,,Paarl Royals,Paarl Royals
Sunrisers Eastern Cape,AFG A,,Sunrisers Eastern Cape,Eastern Cape
MI Cape Town,Bihar,,MI Cape Town,MI Cape Town
Melbourne Renegades,Middlesex,,Melbourne Renegades,Renegades
Adelaide Strikers,Gloucs,,Adelaide Strikers,Strikers
Seattle Orcas,Hampshire,,Seattle Orcas,Seattle
Ireland,Essex,,Ireland,Ireland
United Arab Emirates,Glamorgan,,United Arab Emirates,U.A.E.
Papua New Guinea,Sussex,,Papua New Guinea,P.N.G.
Mis Ainak Knights,Notts,,Mis Ainak Knights,Mis-Ainak
Paktia Panthers,Strikers,,Paktia Panthers,Panthers
Balkh Legends,Renegades,,Balkh Legends,Legends
Kabul Zwanan,Thunder,,Kabul Zwanan,Kabul Zwanan
Speen Ghar Tigers,Originals,,Speen Ghar Tigers,Speen-Ghar
Kabul Eagles,N S-Chargers,,Kabul Eagles,Kabul Eagles
Band-e-Amir Dragons,Fire,,Band-e-Amir Dragons,BEAD
Chattogram Challengers,Phoenix,,Chattogram Challengers,Chattogram
Rajshahi Royals,Rockets,,Rajshahi Royals,Royals
Rangpur Rangers,Spirit,,Rangpur Rangers,Rangers
Sylhet Thunder,Brave,,Sylhet Thunder,Thunder
Khulna Tigers,Barishal,,Khulna Tigers,Khulna
Boost Defenders,Dhaka,,Boost Defenders,BDD
Kandy Tuskers,Khulna,,Kandy Tuskers,Tuskers
Dambulla Viiking,Sunrisers,,Dambulla Viiking,Viiking
Jaffna Stallions,Victorians,,Jaffna Stallions,Stallions
Galle Gladiators,Zalmi,,India,India
Amo Sharks,Qalandars,,Amo Sharks,Amo Sharks
Pamir Zalmi,SLC Dev XI,,Pamir Zalmi,Pamir Zalmi
Hindukush Stars,Eastern Cape,,Hindukush Stars,Stars
Kandy Falcons,Super Kings,,Kandy Falcons,Kandy
Colombo Stars,Super Giants,,Zimbabwe,Zimbabwe
Comilla Victorians,Paarl Royals,,Comilla Victorians,Victorians
Galle Titans,MI Cape Town,,Galle Titans,Galle Titans
Dambulla Aura,Lancashire,,Dambulla Aura,Aura
Colombo Strikers,Chattogram,,Colombo Strikers,Colombo
B-Love Kandy,Durham,,B-Love Kandy,B-Love Kandy
Gulf Giants,Warriorz,,Gulf Giants,Gulf Giants
Galle Marvels,Auckland,,Galle Marvels,Galle
Dambulla Sixers,Otago,,Antigua and Barbuda Falcons,Falcons
Sharjah Warriorz,Wellington,,Sharjah Warriorz,Warriorz
Worcestershire,Northern Dis,,Worcestershire,Worcs
Gloucestershire,Canterbury,,Gloucestershire,Gloucs
Northamptonshire,Central D,,Northamptonshire,Northants
Somerset,Gulf Giants,,Somerset,Somerset
Derbyshire,India,,Derbyshire,Derbyshire
Lancashire,E. Province,,Lancashire,Lancashire
Leicestershire,Northerns,,Leicestershire,Leics
Durham,North West,,Durham,Durham
Warwickshire,KZN-Inland,,Warwickshire,Warwickshire
Nottinghamshire,Giants,,Nottinghamshire,Notts
Duronto Rajshahi,Paarl Rocks,,Duronto Rajshahi,Rajshahi
Khulna Royal Bengals,Blitz,,Khulna Royal Bengals,Khulna
Glamorgan,Spartans,,Glamorgan,Glamorgan
Hampshire,Durban Heat,,Hampshire,Hampshire
Sussex,Cape Cobras,,Sussex,Sussex
Birmingham Bears,Dolphins,,Birmingham Bears,Bears
Fortune Barishal,Knights,,Fortune Barishal,Barishal
Sylhet Sunrisers,Titans,,Sylhet Sunrisers,Sunrisers
Sylhet Strikers,KZ-Natal,,Sylhet Strikers,Strikers
Rangpur Riders,Easterns,,Rangpur Riders,Rangpur
Trinidad & Tobago,Free State,,Trinidad & Tobago,Trinidad & T
Jamaica,W Province,,Jamaica,Jamaica
Windward Islands,Northern Cpe,,Windward Islands,Windward Is
Comb C&C,S West D,,Comb C&C,Comb C&C
Barbados,Zimbabwe XI,,Lions,Lions
Guyana,Capitals,,Guyana,Guyana
Sri Lanka A,Boland,,Sri Lanka A,Sri Lanka A
Antigua Hawksbills,Los Angeles,,Antigua Hawksbills,Hawksbills
Trinidad & Tobago Red Steel,Washington,,Trinidad & Tobago Red Steel,Red Steel
Sydney Thunder,Texas,,Sydney Thunder,Thunder
Melbourne Stars,Nagaland,,Melbourne Stars,Stars
Dhaka Dynamites,Himachal,,Dhaka Dynamites,Dynamites
Chittagong Vikings,East Zone,,Chittagong Vikings,Chattogram
Nangarhar Leopards,North Zone,,Nangarhar Leopards,KingsLeopard
Rajshahi Kings,South Zone,,Rajshahi Kings,Kings
Sylhet Sixers,Arunachal,,Sylhet Sixers,Sylhet
Dhaka Platoon,Tridents,,Dhaka Platoon,Platoon
Colombo Kings,Warwickshire,,Colombo Kings,Kings
Minister Group Dhaka,Patriots,,Minister Group Dhaka,Dhaka
Originals,Zouks,,Originals,Originals
Brisbane Heat,Tallawahs,,Brisbane Heat,Heat
Los Angeles Knight Riders,Trinbago,,Los Angeles Knight Riders,Los Angeles
Spirit,Amazon,,Spirit,Spirit
Cape Cobras,Bears,,Cape Cobras,Cape Cobras
Sydney Sixers,Seattle,,Sydney Sixers,Sixers
Khulna Titans,Invincibles,,Khulna Titans,Khulna
Madhya Pradesh,Hurricanes,,Madhya Pradesh,M. Pradesh
Bengal,Vipers,,Bengal,Bengal
Bihar,BEAD,,Bihar,Bihar
Saurashtra,Legends,,Saurashtra,Saurashtra
Gujarat,Panthers,,Gujarat,Gujarat
Warriors,SGT,,Warriors,Warriors
Pretoria Capitals,Platoon,,Pretoria Capitals,Capitals
Gujarat Titans,Royals,,Gujarat Titans,GT
Maharashtra,Gladiators,,Maharashtra,Maharashtra
Kerala,Stars,,Kerala,Kerala
Uganda,United,,Uganda,Uganda
Kent,Galle Titans,,Kent,Kent
Central Districts,Jaffna Kings,,Central Districts,Central D
Washington Freedom,Aura,,Washington Freedom,Washington
San Francisco Unicorns,MI Emirates,,San Francisco Unicorns,SF
Nagaland,Surrey,,Nagaland,Nagaland
Rajasthan,Rangpur,,Rajasthan,Rajasthan
New South Wales,Rajshahi,,New South Wales,NSW
Titans,Manipur,,Titans,Titans
Wellington,P.N.G.,,Wellington,Wellington
Surrey,Uganda,,Surrey,Surrey
Middlesex,Sultans,,Middlesex,Middlesex
Sharjah Warriors,Kings,,Sharjah Warriors,Warriors
Kochi Tuskers Kerala,Dambulla,,Kochi Tuskers Kerala,Kochi
England Lions,Galle,,Pakistan A,Pakistan A
Assam,KnightRiders,,Assam,Assam
Manipur,Falcons,,Manipur,Manipur
Vidarbha,Victoria,,Vidarbha,Vidarbha
Services,South Aust,,Services,Services
Namibia,Kochi,,Namibia,Namibia
SLC Greys,Griq West,,SLC Greys,SLC Greys
SLC Greens,Impi,,SLC Greens,SLC Greens
SLC Reds,CA XI,,SLC Reds,SLC Reds
SLC Blues,Jozi Stars,,SLC Blues,SLC Blues
Brave,Heat,,Brave,Brave
Arunachal Pradesh,MI New York,,Arunachal Pradesh,Arunachal
South Australia,BDD,,South Australia,South Aust
United States of America,Kabul Zwanan,,United States of America,U.S.A.
Essex,Kabul Eagles,,Essex,Essex
Puducherry,Amo Sharks,,Puducherry,Puducherry
Punjab,Rangers,,Punjab,Punjab
Malaysia,Viiking,,Malaysia,Malaysia
Bermuda,Stallions,,Bermuda,Bermuda
Scotland,Pamir Zalmi,,Scotland,Scotland
Uttarakhand,Kandy,,Uttarakhand,Uttarakhand
Western Australia,Colombo,,Western Australia,West Aust
Zimbabwe XI,B-Love Kandy,,Zimbabwe XI,Zimbabwe XI
South Africa A,Mountaineers,,South Africa A,SA A
Dolphins,Chittagong,,Dolphins,Dolphins
Western Province,Barisal,,Western Province,W Province
Eagles,Worcs,,Eagles,Eagles
Durban Heat,Canada,,Durban Heat,Durban Heat
Tshwane Spartans,Barbados,,Tshwane Spartans,Spartans
Fire,Guyana,,Fire,Fire
Odisha,Comb C&C,,Odisha,Odisha
Knights,Windward Is,,Knights,Knights
Mizoram,BCB XI,,Mizoram,Mizoram
Meghalaya,Leeward Is,,Meghalaya,Meghalaya
Chhattisgarh,Sri Lanka A,,Chhattisgarh,Chhattisgarh
Western Troopers,Hawksbills,,Western Troopers,Troopers
Bangladesh A,Red Steel,,Bangladesh A,Bangladesh A
Baroda,India A,,Baroda,Baroda
Kandahar Knights,Bangladesh A,,Kandahar Knights,Knights
Afghanistan A,Super Stars,,Afghanistan A,AFG A
Oman,Sylhet,,Oman,Oman
Boost Region,Jamaica,,Boost Region,Boost Region
Amo Region,Dynamites,,Amo Region,Amo Region
Speen Ghar Region,Border,,Speen Ghar Region,Speen-Ghar
Uva Next,Kenya,,Uva Next,Uva Next
Chittagong Kings,Central Zone,,Chittagong Kings,Chittagong
Boland,Orissa,,Boland,Boland
Barisal Bulls,Wayamba,,Barisal Bulls,Bulls
Tasmania,NSW,,Tasmania,Tasmania
Lahore Lions,West Zone,,Lahore Lions,Lahore Lions
Sikkim,Pakistan A,,Sikkim,Sikkim
Dhaka Dominators,Chilaw CC,,Dhaka Dominators,Dominators
Victoria,Saracens,,Victoria,Victoria
North West,Bloomfield,,North West,North West
Faisalabad Wolves,SL Army,,Faisalabad Wolves,Wolves
Southern Express,Panadura,,Southern Express,Express
Northern Districts,Negambo CC,,Northern Districts,Northern Dis
Bloomfield,Tamil Union,,Bloomfield,Bloomfield
Border,Nondescripts,,Border,Border
Northern Cape,Negombo,,Northern Cape,Northern Cpe
Tripura,Colts CC,,Tripura,Tripura
Queensland,Ragama CC,,Queensland,Queensland
Basnahira Cricket Dundee,Lankan CC,,Basnahira Cricket Dundee,Basnahira CD
Hong Kong,SLC Blues,,Hong Kong,Hong Kong
Kandurata Maroons,SLC Reds,,Kandurata Maroons,Kandurata Ma
Pakistan Shaheens,Mpumalanga,,Pakistan Shaheens,Shaheens
India A,Colombo CC,,India A,India A
Hyderabad (India),Moors,,Hyderabad (India),Hyderabad
Oval Invincibles (Men),Sinhalese,,Oval Invincibles (Men),Invincibles
Invincibles,Qatar,,Invincibles,Invincibles
Durdanto Dhaka,Malaysia,,Durdanto Dhaka,Dhaka
Auckland,Bermuda,,Auckland,Auckland
Canterbury,West Aust,,Canterbury,Canterbury
Texas Super Kings,Galle CC,,Texas Super Kings,Texas
Uttar Pradesh,Burgher,,Uttar Pradesh,UP
Chandigarh,Limpopo,,Chandigarh,Chandigarh
Railways,Eagles,,Railways,Railways
MI New York,Bdesh XI,,MI New York,MI New York
Cumilla Warriors,Zim Select,,Cumilla Warriors,Warriors
Durbar Rajshahi,Gauteng,,Durbar Rajshahi,Rajshahi
Nepal,Troopers,,Nepal,Nepal
SLC Dev XI,Badureliya,,SLC Dev XI,SLC Dev XI
Gauteng,KTC,,Gauteng,Gauteng
Northerns,NZ XI,,Northerns,Northerns
Easterns,SA A,,Easterns,Easterns
South Western Districts,WICB Pres XI,,South Western Districts,S West D
Central Zone,KingsLeopard,,Central Zone,Central Zone
North Zone,Dominators,,North Zone,North Zone
South Zone,Boost Region,,South Zone,South Zone
Griqualand West,Speen-Ghar,,Griqualand West,Griq West
Impi,Mis-Ainak,,Impi,Impi
South Africans,Amo Region,,South Africans,South Africa
Canada,England XI,,Canada,Canada
Bangladesh Cricket Board XI,Zim Pres XI,,Bangladesh Cricket Board XI,BCB XI
Eastern Province,Tasmania,,Eastern Province,E. Province
KwaZulu-Natal Inland,S Stallions,,KwaZulu-Natal Inland,KZN-Inland
KwaZulu-Natal,Kandy CCC,,KwaZulu-Natal,KZ-Natal
Kenya,Kurunegala,,Kenya,Kenya
West Zone,Air Force SC,,West Zone,West Zone
Pakistan A,SLC Yellow,,Pakistan A,Pakistan A
