ID,Count
8917,304
26421,94
28081,189
30288,62
34102,354
44828,278
230558,300
232292,58
234675,158
236779,13
253802,306
272450,188
276298,360
277912,64
277916,144
288284,27
290630,193
308967,385
311592,35
321777,389
325012,322
325026,384
326016,86
344580,37
377534,59
379140,198
379143,340
379504,206
379887,32
390481,180
390484,126
398439,104
403902,308
422108,249
423838,115
425943,255
430246,38
432783,124
436757,474
438362,36
446507,315
446763,147
447261,54
461632,46
471342,171
477021,105
481896,68
481979,56
489889,180
497121,178
502714,224
510530,111
530011,324
537119,33
542023,42
550215,101
552152,75
554691,202
559235,53
595267,103
595978,139
596010,40
596417,118
600498,211
604302,431
604527,176
605661,119
625371,317
625383,44
642519,243
662235,157
662973,242
669365,296
669855,92
670025,282
677077,151
694211,33
696401,77
698315,82
714451,164
719715,116
719719,76
720471,402
721867,109
723105,142
732293,59
777515,18
777815,11
778241,17
778963,64
784373,192
784379,221
793463,333
793467,175
802575,6
805235,47
819429,128
820351,320
822553,14
823509,311
823703,71
826915,82
851403,109
853265,99
892749,290
897549,208
911707,173
917159,12
926851,20
931581,257
940973,41
942645,15
955235,36
959767,94
974087,261
974109,95
974175,37
1048739,20
1050545,34
1057399,15
1059570,35
1060380,158
1064812,94
1070173,163
1070183,145
1070188,18
1070196,12
1079434,106
1079470,45
1079839,42
1081442,23
1083033,2
1108375,26
1111917,24
1119026,99
1123073,63
1123718,22
1124283,74
1125688,8
1125958,104
1125976,59
1130300,21
1131978,28
1132005,19
1138316,89
1148776,11
1151270,60
1151273,32
1151278,122
1151286,1
1151288,44
1155253,9
1159711,69
1159720,6
1159722,12
1159843,10
1161024,87
1161489,15
1163695,6
1168049,68
1168641,45
1170265,122
1175426,7
1175428,11
1175429,6
1175441,52
1175463,10
1175485,76
1175488,33
1175489,22
1175496,36
1176959,13
1182529,51
1194795,25
1194959,56
1206039,5
1206052,24
1207295,19
1209292,15
1244751,13
1246528,14
1252585,26
1277545,35
1287032,17
1292495,18
1292497,15
1292502,16
1292506,23
1292563,1
1294342,8
1306214,10
1312645,3
1339031,12
1349361,10
1350792,1
1356971,7
1403153,13
1410577,17
