ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
1132005,6,0.0,1,0,Vidarbha,Raipur,2018-01-15,bat,day,1,20,0,0.923,7.4,21.8,0.833,7.28,24.4,0.875,7.55,22.65,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,28.3,13.9,0.0,9.2,0.0,Other,4
1132005,6,300.0,2,1,Delhi,Kolkata,2018-01-25,field,day,1,4,0,0.0,9.95,33.33,0.0,10.0,33.16,0.0,10.0,33.33,6.0,1,0,0,0,1.5393,1.5393,1.3382,1.0927,26.1,15.0,0.0,9.6,0.0,Other,4
1132005,6,100.0,2,1,Maharashtra,Delhi,2019-02-21,field,day,1,6,0,1.041,7.97,26.06,1.268,8.38,26.5,0.847,7.94,25.34,10.0,2,0,0,0,1.9655,1.9655,1.3382,1.0927,25.4,14.2,0.0,16.9,3.0,Other,4
1132005,6,100.0,2,0,Karnataka,Indore,2019-03-09,field,day,1,5,0,1.744,7.74,25.41,1.653,8.26,22.62,0.573,8.17,25.66,6.0,3,0,0,0,1.5393,1.5393,1.3382,1.0927,29.8,16.8,0.0,21.7,0.0,Other,3
1132005,6,100.0,2,1,Vidarbha,Indore,2019-03-10,field,day,1,4,0,1.744,7.74,25.41,1.653,8.26,22.62,0.573,8.17,25.66,6.5,4,0,0,0,1.5393,1.5393,1.9422,1.6967,30.3,15.4,0.0,14.7,2.0,Other,3
1132005,6,93.75,2,1,Mumbai,Indore,2019-03-12,field,day,1,43,0,1.744,7.74,25.41,1.653,8.26,22.62,0.573,8.17,25.66,5.0,5,0,0,0,1.3883,1.6449,1.8968,1.0927,30.1,16.1,0.0,9.8,1.0,Other,4
1132005,6,141.6666667,1,1,Vidarbha,Thiruvananthapuram,2019-11-09,bat,day,1,31,0,1.0,7.38,18.5,1.0,5.76,15.86,0.8,7.05,17.48,8.5,6,0,0,0,1.5393,1.7959,1.3382,1.6967,29.6,24.2,7.8,10.4,63.0,Other,3
1132005,6,140.0,2,0,Tamil Nadu,Thiruvananthapuram,2019-11-11,field,day,1,-2,0,1.0,7.38,18.5,1.4,7.99,19.76,0.8,7.45,22.37,9.8,7,0,0,0,1.5393,1.7959,2.3684,1.0927,29.2,24.1,13.9,9.8,63.0,Other,3
1132005,6,136.1111111,1,1,Rajasthan,Thiruvananthapuram,2019-11-14,field,day,0,1,0,1.0,7.38,18.5,0.714,7.67,25.57,0.8,7.05,17.48,9.8,8,0,0,0,1.5393,2.2221,2.625,1.0927,30.8,23.9,1.3,10.9,51.0,Other,3
1132005,6,131.5789474,1,1,Karnataka,Alur (3),2021-01-18,field,day,0,0,0,4.0,7.74,31.33,0.25,7.41,49.53,0.25,7.41,22.45,8.333333333,9,0,0,0,1.5393,1.7959,1.3382,1.6967,26.9,13.8,0.0,14.1,3.0,Other,3
