ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder,Extracted_IDs
559235,6,0.0,1,0,Railways,Nagpur,2014-04-05,bat,day,1,5,0,0.5,7.55,18.9,0.857,7.06,21.71,1.166,7.39,20.95,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,39.4,24.0,0.0,9.8,0.0,Other,4,"30288, 723105, 447261, 721867"
559235,6,100.0,2,1,Rajasthan,Indore,2015-03-25,bat,day,0,-1,0,1.744,7.74,25.41,1.882,8.03,21.01,0.573,8.17,25.66,1.0,1,0,0,0,1.5393,1.5393,1.3382,1.0927,37.5,22.8,0.0,10.2,2.0,Other,4,"723105, 30288"
559235,6,50.0,2,0,M. Pradesh,Indore,2015-03-27,bat,day,0,3,0,1.744,7.74,25.41,1.882,8.03,21.01,0.573,8.17,25.66,2.0,2,0,0,0,1.0863,1.0863,1.3382,1.0927,36.4,22.5,0.0,13.1,3.0,Other,4,"30288, 721867, 851403, 723105"
559235,6,50.0,1,0,Railways,Indore,2015-03-29,bat,day,1,39,0,1.744,7.74,25.41,0.531,7.37,27.01,0.573,7.76,21.96,5.0,3,0,0,0,1.0863,1.0863,1.5948,1.6967,36.2,25.6,1.5,13.6,53.0,Other,4,723105
559235,6,122.2222222,2,1,Rajasthan,Jaipur,2017-01-31,bat,day,0,1,0,1.818,7.54,25.92,1.823,8.02,23.75,0.666,7.74,24.99,22.0,4,0,0,0,2.3917,2.3917,1.3382,1.0927,24.1,10.8,0.0,12.2,1.0,Tournament,3,"723105, 30288, 721867, 853265"
559235,6,115.0,2,0,Railways,Jaipur,2017-02-02,bat,day,0,5,0,1.818,7.54,25.92,1.823,8.02,23.75,0.666,7.74,24.99,11.5,5,0,0,0,1.9655,2.2221,1.4892,2.1229,23.5,11.5,0.0,10.8,3.0,Tournament,4,"853265, 723105, 1059570, 30288"
559235,6,114.2857143,1,1,RCB,Eden Gardens,2017-04-23,field,night,0,4,1,1.428,8.25,24.16,0.792,8.44,27.35,0.847,8.19,24.64,12.0,6,0,0,0,1.9655,2.2221,1.3382,1.0927,34.2,27.8,1.9,27.4,51.0,IPL,4,"430246, 253802, 290630, 446507, 230558"
559235,6,100.0,2,1,MI,Eden Gardens,2017-05-13,field,night,1,28,1,1.428,8.25,24.16,1.261,8.39,25.05,0.847,8.09,25.96,9.333333333,7,0,0,0,1.5393,2.2221,1.4892,1.0927,38.0,27.8,0.0,21.9,3.0,IPL,3,"277912, 625371, 290630, 471342, 230558, 34102"
559235,3,102.3255814,1,1,Australia,Guwahati,2017-10-10,field,night,0,24,1,0.777,7.99,26.3,1.2,8.3,27.71,1.285,7.99,28.74,11.0,8,0,0,0,1.9655,2.2221,1.3382,1.0927,31.8,23.7,0.4,8.0,51.0,Bilateral,4,"253802, 290630, 28081, 326016, 430246, 530011, 625383, 430246, 253802, 34102, 326016, 34102, 625371, 530011, 290630, 625383, 625371, 530011, 530011, 28081"
559235,6,96.77419355,1,1,Australia,Guwahati,2017-10-10,field,night,0,24,1,0.777,7.99,26.3,1.2,8.3,27.71,1.285,7.99,28.74,12.0,9,0,0,0,1.8145,1.6449,2.2174,1.9719,31.8,23.7,0.4,8.0,51.0,Bilateral,4,"253802, 290630, 28081, 326016, 430246, 530011, 625383, 430246, 253802, 34102, 326016, 34102, 625371, 530011, 290630, 625383, 625371, 530011, 530011, 28081"
