ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder,Extracted_IDs
1151273,6,0.0,1,1,RCB,Bengaluru,2023-04-02,field,night,0,45,0,1.145,8.59,28.43,0.766,8.77,27.19,0.774,8.74,27.94,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,33.7,20.1,0.0,12.3,3.0,IPL,3,"1170265, 446507, 253802, 325026, 34102, 44828, 1244751, 720471, 720471, 892749"
1151273,6,161.5384615,2,1,KKR,Wankhede,2023-04-16,field,daynight,1,16,1,1.25,8.32,25.62,1.38,8.43,26.58,0.732,8.32,26.77,21.0,1,0,0,0,2.3917,2.3917,1.3382,1.0927,28.4,26.9,0.0,29.0,1.0,IPL,3,"974087, 604527, 230558, 1170265, 851403, 276298, 34102, 720471, 720471, 446507, 892749, 723105"
1151273,6,158.8235294,2,1,Punjab Kings,Wankhede,2023-04-22,field,night,1,-4,1,1.25,8.32,25.62,1.38,8.43,26.58,0.732,8.32,26.77,13.5,2,0,0,0,1.9655,1.9655,1.9422,1.0927,28.1,27.2,0.0,23.0,1.0,IPL,3,"720471, 1125958, 1168641, 446507, 662973, 719719, 403902, 669855, 1125958, 892749, 1170265, 720471, 34102, 1161024, 721867"
1151273,6,150.0,2,1,GT,Ahmedabad,2023-04-25,field,night,1,84,0,1.461,8.05,29.93,1.0,8.46,26.96,1.166,8.13,25.56,9.0,3,0,0,1,1.5393,1.5393,1.3382,1.0927,40.0,23.5,0.0,14.8,3.0,IPL,3,"778963, 720471, 446507, 1148776, 423838, 625371, 321777, 1170265, 34102, 892749, 477021, 720471, 1070173, 793463, 778963"
1151273,6,171.7948718,1,1,CSK,Chennai,2023-05-06,field,daynight,0,118,0,1.454,7.74,27.44,1.352,8.17,24.46,1.2,7.98,26.02,16.75,4,0,0,1,1.9655,1.9655,1.3382,1.0927,31.0,25.2,5.0,9.8,61.0,IPL,2,"595978, 720471, 1060380, 446507, 669855, 277916, 1244751, 892749, 714451, 720471, 379140, 34102, 28081"
1151273,6,145.5555556,2,0,RCB,Wankhede,2023-05-09,field,night,1,106,1,1.25,8.32,25.62,1.38,8.43,26.58,0.732,8.32,26.77,26.2,5,0,1,1,2.3917,2.6483,2.1988,2.5491,29.4,28.3,0.0,26.2,3.0,IPL,2,"253802, 720471, 325026, 34102, 446507, 853265, 892749, 720471, 1123073, 784379, 44828"
1151273,6,147.5806452,1,1,GT,Wankhede,2023-05-12,field,night,0,35,1,1.25,8.32,25.62,0.724,8.41,27.14,0.732,8.29,26.23,36.6,6,0,2,1,2.8179,3.5007,3.2422,3.4015,29.8,28.8,0.0,23.7,3.0,IPL,2,"1182529, 892749, 720471, 732293, 477021, 423838, 625371, 321777, 778963, 1070173, 793463, 34102, 778963, 720471, 446507"
1151273,6,151.1450382,2,1,LSG,Lucknow,2023-05-16,field,night,1,28,0,1.105,7.27,26.1,1.0,7.55,26.47,1.15,7.15,22.59,33.0,7,0,2,1,2.8179,3.5007,1.3382,1.0927,40.6,23.3,0.0,28.2,1.0,IPL,2,"325012, 379143, 892749, 34102, 446507, 497121, 471342, 720471, 604302, 720471, 732293"
1151273,6,141.7218543,1,1,LSG,Chennai,2023-05-24,bat,night,1,53,0,1.454,7.74,27.44,1.121,7.88,23.51,1.2,7.98,26.02,30.57142857,8,0,2,1,2.8179,3.5007,3.5814,1.9719,36.2,28.3,0.0,26.0,2.0,IPL,3,"604302, 1151270, 1170265, 1132005, 1175441, 720471, 471342, 446507, 34102, 497121, 325012, 892749, 720471"
1151273,6,145.398773,2,1,GT,Ahmedabad,2023-05-26,field,night,1,14,0,1.461,8.05,29.93,1.0,8.46,26.96,1.166,8.13,25.56,29.625,9,0,2,1,2.3917,3.5007,3.6142,2.5491,41.3,27.8,0.1,25.0,51.0,IPL,1,"1070173, 446507, 625371, 892749, 1151288, 793463, 1159843, 732293, 1170265, 34102"
1151273,6,145.1807229,2,1,Manipur,Ranchi,2023-10-21,bat,day,0,4,0,1.052,8.21,27.1,1.833,8.26,26.35,0.666,8.15,25.78,26.77777778,10,0,2,1,2.3917,2.6483,1.3382,1.0927,26.4,15.9,0.0,10.8,0.0,Other,2,"390484, 1131978, 446763, 30288, 1161024, 1070183, 390484, 1175441"
1151273,6,143.7869822,1,0,Gujarat,Ranchi,2023-10-23,field,day,0,5,0,1.052,8.21,27.1,0.769,7.67,24.29,0.666,7.91,24.85,24.3,11,0,2,1,2.3917,2.2221,1.6402,1.0927,27.0,17.7,0.0,12.0,3.0,Other,3,"1148776, 446763, 1070183, 554691, 1161024, 30288, 1131978, 1292497, 1079470"
1151273,6,143.5294118,1,1,Goa,Ranchi,2023-10-25,bat,day,1,92,0,1.052,8.21,27.1,0.545,8.23,28.13,0.666,7.91,24.85,24.4,12,0,2,1,2.3917,2.2221,1.8968,1.0927,27.0,18.7,0.1,11.2,51.0,Other,2,"1161024, 30288, 1131978, 1148776, 1292497, 1081442, 1168641, 1070183, 1079470, 446763"
1151273,6,146.4646465,2,1,UP,Mohali,2023-11-02,field,day,1,98,0,1.23,8.32,27.96,1.757,8.36,25.29,0.61,8.3,28.75,26.36363636,13,0,2,1,2.3917,2.2221,1.3382,1.0927,28.7,15.0,0.0,9.7,3.0,Other,2,"1070183, 723105, 732293, 425943, 344580, 1079434, 1079470, 1161024, 604527, 1175489"
1151273,6,144.3037975,2,0,Delhi,Mohali,2023-11-04,field,day,1,23,0,1.23,8.32,27.96,1.757,8.36,25.29,0.61,8.3,28.75,28.5,14,0,3,1,2.3917,2.6483,3.5814,1.0927,28.5,13.5,0.0,11.1,1.0,Other,3,"471342, 1123073, 1287032, 1161024, 805235, 1079434, 1151270, 1070183"
1151273,6,143.7246964,1,0,Baroda,Mohali,2023-11-06,field,daynight,0,131,0,1.23,8.32,27.96,0.568,8.29,28.63,0.61,8.3,25.88,29.58333333,15,0,3,1,2.3917,3.0745,3.838,1.0927,27.8,13.0,0.0,10.3,3.0,Other,2,"471342, 1070183, 1161024"
1151273,6,151.8248175,1,1,RR,Jaipur,2024-04-22,bat,night,1,99,0,1.818,7.54,25.92,0.548,7.73,28.18,0.666,7.62,23.87,34.66666667,16,0,4,1,2.8179,3.5007,1.3382,1.0927,36.4,23.2,0.0,13.3,1.0,IPL,3,"625383, 308967, 720471, 34102, 625371, 446507, 1170265, 425943, 596010, 720471, 892749, 1151278"
1151273,6,156.0402685,2,1,DC,Delhi,2024-04-27,field,daynight,1,18,0,1.041,7.97,26.06,1.268,8.38,26.5,0.847,7.94,25.34,35.76923077,17,0,4,1,2.8179,3.5007,1.3382,1.0927,38.1,25.7,0.0,25.6,3.0,IPL,3,"720471, 625371, 34102, 446507, 1170265, 595978, 720471, 892749, 931581, 1277545, 1168049, 554691"
1151273,6,156.3333333,1,1,LSG,Lucknow,2024-04-30,field,night,0,82,0,1.105,7.27,26.1,1.0,8.03,24.56,1.15,7.59,23.65,33.5,18,0,4,1,2.8179,3.5007,2.2174,2.1229,40.5,26.5,0.0,25.0,0.0,IPL,3,"892749, 604302, 596010, 497121, 720471, 720471, 625371, 34102, 325012, 446507, 1151270, 1170265, 471342, 1403153, 422108"
1151273,6,151.026393,2,1,KKR,Wankhede,2024-05-03,field,night,1,10,1,1.25,8.32,25.62,1.38,8.43,26.58,0.732,8.32,26.77,34.33333333,19,0,4,1,2.8179,3.5007,3.4988,1.6967,28.6,26.6,0.0,27.3,1.0,IPL,3,"596010, 642519, 851403, 1209292, 34102, 276298, 720471, 1287032, 720471, 230558, 1079470, 290630, 311592, 1170265, 446507, 625383, 625371, 1292495, 892749, 723105, 669365"
1151273,6,148.0113636,2,1,KKR,Eden Gardens,2024-05-11,field,night,1,7,0,1.428,8.06,26.66,1.261,8.39,25.05,0.847,8.09,25.96,32.5625,20,0,4,1,2.8179,3.5007,1.3382,1.5457,31.4,25.7,6.8,19.9,61.0,IPL,3,"851403, 720471, 1079470, 34102, 669365, 642519, 230558, 723105, 1175428, 625371, 892749, 720471, 604527, 276298, 1170265, 446507, 1287032, 311592"
1151273,6,147.6056338,2,1,LSG,Wankhede,2024-05-17,field,night,1,-1,1,1.25,8.32,25.62,1.38,8.43,26.58,0.732,8.32,26.77,30.82352941,21,0,4,1,2.8179,2.6483,3.3292,2.8057,31.1,29.3,0.0,22.3,3.0,IPL,3,"422108, 1287032, 1151270, 325012, 34102, 720471, 497121, 677077, 1244751, 1119026, 720471, 471342, 446507, 604302, 625371"
1151273,6,146.6480447,1,1,Shaheens,Al Amerat,2024-10-19,bat,daynight,1,47,0,0.923,7.43,22.18,0.653,7.23,23.19,0.662,7.59,20.81,29.16666667,22,0,4,1,2.3917,2.2221,1.3382,1.0927,32.3,24.4,0.0,12.0,3.0,Cup,2,"1161024, 1064812, 1161489, 1064812, 1292506, 1079470, 1175428, 1170265, 1070183, 1151270"
1151273,6,144.7368421,2,0,U.A.E.,Al Amerat,2024-10-21,bat,daynight,0,10,0,0.923,7.43,22.18,1.529,7.58,18.72,0.662,7.72,24.39,28.94736842,23,0,4,1,2.3917,2.2221,2.7618,1.0927,36.7,27.9,0.0,18.6,3.0,Cup,2,"1170265, 1070183, 1151270, 1161024"
1151273,6,143.2989691,2,1,Oman,Al Amerat,2024-10-23,bat,daynight,0,-1,0,0.923,7.43,22.18,1.529,7.58,18.72,0.662,7.72,24.39,29.26315789,24,0,4,1,2.3917,2.0711,3.4446,1.0927,33.1,25.9,0.0,16.7,0.0,Cup,2,"1123073, 1151270, 1170265, 1070183, 1079470"
1151273,6,141.7302799,2,1,AFG A,Al Amerat,2024-10-25,bat,daynight,0,44,0,0.923,7.43,22.18,1.529,7.58,18.72,0.662,7.72,24.39,27.85,25,0,4,1,2.3917,1.6449,2.6978,1.0927,33.9,24.8,0.0,18.9,0.0,Cup,2,"1175428, 1161024, 1292506, 1151270, 793467, 1070183, 1170265, 1079470"
1151273,6,141.7690418,1,1,Bengal,Rajkot,2024-11-23,field,daynight,0,48,0,0.846,8.11,25.01,0.608,8.19,27.6,0.756,8.11,24.53,27.47619048,26,0,4,1,2.3917,2.2221,1.3382,1.0927,29.7,16.5,0.0,11.1,3.0,Other,2,"1244751, 1070183, 1277545, 823703, 1287032, 1161024, 1125976, 1079470, 1168641, 851403, 1159711, 1081442"
1151273,6,139.7228637,2,1,Bihar,Rajkot,2024-11-25,bat,day,0,24,0,0.846,8.11,25.01,1.058,8.11,26.42,0.756,8.03,25.51,27.5,27,0,4,1,2.3917,2.6483,2.7618,1.0927,30.7,18.2,0.0,14.2,0.0,Other,2,"1287032, 1070183, 1170265, 1159711, 1079470, 1161024, 1277545"
1151273,6,139.9543379,2,1,M. Pradesh,Rajkot,2024-11-27,field,daynight,1,4,0,0.846,8.11,25.01,1.642,7.96,23.0,0.756,8.03,25.51,26.65217391,28,0,4,1,2.3917,2.2221,2.5922,1.0927,31.1,18.3,0.0,11.8,0.0,Other,2,"1070183, 853265, 823703, 1287032, 1125976, 694211, 1168641, 1070188, 1161024, 1170265, 497121, 447261, 1079470, 1175426, 851403, 1159843, 1244751"
1151273,6,138.6516854,2,1,Mizoram,Rajkot,2024-11-29,field,day,1,12,0,0.846,8.11,25.01,1.642,7.96,23.0,0.756,8.03,25.51,25.70833333,29,0,4,1,2.3917,2.2221,2.8488,1.0927,29.7,18.8,0.0,13.6,0.0,Other,2,"1081442, 1079470, 1168641, 1287032, 1070183, 1161024"
1151273,6,137.9690949,1,1,Hyderabad,Saurashtra,2024-12-01,bat,day,1,57,0,0.846,8.11,25.01,0.944,8.02,23.62,0.756,8.11,24.53,25.0,30,0,4,1,2.3917,2.2221,1.3382,1.0927,28.2,16.1,0.0,13.0,0.0,Other,2,"1070183, 1159843, 1170265, 853265, 1125976, 1079470, 851403, 823703, 497121, 1161024, 1287032"
