ID,HomeWinLossRatio,HomeAverage,HomeRPO,AwayAverage,AwayRPO,NeutralAverage,NeutralRPO,WonTossBattedWinLossRatio,WonTossBattedAverage,WonTossBattedRPO,WonTossFieldedWinLossRatio,WonTossFieldedAverage,WonTossFieldedRPO,LostTossSentInWinLossRatio,LostTossSentInAverage,LostTossSentInRPO,LostTossFieldedWinLossRatio,LostTossFieldedAverage,LostTossFieldedRPO,FirstInningsWinLossRatio,FirstInningsAverage,FirstInningsRPO,SecondInningsAverage,SecondInningsRPO,DayMatchAverage,DayMatchRPO,DayNightMatchAverage,DayNightMatchRPO,NightMatchAverage,NightMatchRPO
56293,1.125,26.17,8.41,23.64,8.14,24.61,7.89,1.307,25.78,8.17,0.6,23.27,8.34,1.666,27.56,8.83,0.764,23.02,7.76,1.454,26.58,8.47,23.14,8.02,20.83,7.44,24.97,8.39,26.08,8.44
56319,1,25,10,22.8,9.67,0,0,0,17.2,8.6,0,16.6,9.76,0,38,11.4,0,35.2,9.6,1,25,10,22.8,9.67,0,0,0,0,0,0
56336,1.075,25.03,8.45,25.06,8.27,23.76,7.82,1,26.22,8.36,0.84,23.91,8.42,1.19,24.61,8.35,1,25.53,8.21,1.097,25.34,8.36,24.65,8.32,26.1,7.89,24.37,8.07,25.1,8.49
56362,0,16.62,6.65,19.26,7.31,0,0,0,12.2,6.1,0,24,7.2,0,23.71,8.3,0,15.37,6.3,1,16.94,7.2,19.07,6.75,13.61,6.2,0,0,23.84,7.75
56370,1.384,26.05,8.42,24.71,8.18,0,0,0.285,23.4,7.96,1.2,22.42,8.24,0.833,26.38,8.43,3.5,35.92,8.43,0.631,25.52,8.3,25.19,8.3,27.23,9.29,23.85,8.24,25.38,8.23
56383,0.666,21.15,8.13,23.76,8.2,0,0,1,21.4,7.98,1,21.56,8.27,1,24.86,8.44,1,20.11,7.5,1,23.7,8.3,21.11,8.02,27.41,8.32,22.53,7.81,21.97,8.33
56386,1,33.75,8.49,23.04,7.94,0,0,0,32.7,8.17,1,17.71,7.4,1,26.46,8.6,0,41.5,8.62,0.333,29.17,8.38,26.36,8.05,0,0,39.55,9.01,24.86,7.95
56402,0.714,23.1,7.81,22.15,7.42,17.91,6.61,0.666,25.06,7.39,1.666,18.84,7.27,0.6,18.77,7.29,1.5,20.8,7.12,0.636,21.84,7.35,19.94,7.18,29.04,8.38,24.83,7.68,18.14,6.85
56407,1.931,27.03,8.49,23.89,8.2,23.17,7.7,1.181,25.14,8.26,1.045,24.66,8.34,0.956,26.04,8.44,0.846,24.84,8.12,1.066,25.57,8.35,24.76,8.23,25.18,8.38,23.03,7.88,26.55,8.5
56441,1.357,27.25,8.11,22.65,7.75,20.29,7.7,0.952,22.55,7.8,1.384,26.1,7.96,0.722,24.86,8.04,1.05,24.31,7.8,0.807,23.92,7.94,25.38,7.9,23.2,8.07,23.47,7.83,25.28,7.93
