Embedding_1,Embedding_2,Embedding_3,Embedding_4,Embedding_5,Embedding_6,Embedding_7,Embedding_8
9.193022,9.496897,4.783898,3.2503793,2.546737,6.3194914,2.2808251,7.4918203
2.4590433,1.2737502,3.5348554,4.616887,3.6547892,2.2278926,10.049258,2.8218815
9.368209,9.367412,5.0037723,3.0808666,2.5723078,6.319602,2.2603414,7.476737
4.9286976,7.581444,4.5120206,4.83606,1.3000193,4.4515147,2.8059626,7.2614923
13.172911,4.1213145,7.571241,1.5736582,5.1241527,6.9536443,0.96467686,7.942771
13.167332,4.140737,7.510241,1.5758325,5.113947,6.889526,1.0426327,8.020352
13.622057,3.387264,6.6920376,1.2649418,5.827117,5.619232,2.0394878,7.4967318
7.4233737,8.801649,4.479887,3.843476,2.196201,5.664705,1.9825162,7.8295846
9.489239,9.33409,5.117533,2.9744403,2.6152856,6.3053164,2.2705414,7.435945
8.13086,8.919629,4.7359557,3.5192888,2.283792,5.9060564,2.0167594,7.7506742
13.642725,3.740023,6.944313,0.9492095,5.8181167,6.7285423,1.5923077,8.180516
13.714882,3.6536114,6.8639827,0.9274571,5.8771586,6.6357436,1.7073791,8.130416
13.31739,3.9174204,7.238553,1.2773603,5.441655,7.4745164,1.3481673,8.060746
8.705167,9.021655,4.9059596,3.2749126,2.4258096,6.155496,2.014419,7.687093
9.266735,9.517407,4.7891483,3.238531,2.6254165,6.38279,2.3124197,7.3814883
4.9142075,7.558555,4.4258046,4.9091077,1.2067344,4.390283,2.8388,7.1168914
7.2004104,8.976528,4.2944984,3.9968665,2.0895975,5.67001,1.859742,8.013679
13.623314,2.6097255,6.8743978,1.1646055,6.194799,5.8542547,2.7256455,7.1439137
2.3363175,1.5157793,3.9585676,4.8369436,3.0643382,1.0553412,9.8281145,2.6752777
0.6210726,2.522887,6.2265935,5.8248787,2.6528327,2.7542932,6.5027585,4.992396
13.5744705,2.9354577,6.7583632,1.1597054,5.9954176,5.666845,2.4575155,7.2593102
9.285195,9.613901,4.703098,3.3042452,2.6154642,6.4029126,2.318372,7.4460225
13.080599,4.120411,7.045696,1.9619182,5.025673,5.5465484,1.281094,7.3921
13.235571,4.035368,7.4420137,1.4112098,5.2739162,7.139772,1.1052622,8.078291
7.901101,8.911843,4.6301713,3.6418562,2.264725,5.854665,1.9977832,7.7807593
13.435695,3.9003603,7.2946153,1.1576802,5.5550165,7.2500944,1.3234192,8.149987
13.690667,3.5129738,6.711644,1.0633901,5.8206954,6.0117993,1.9278919,7.7927613
13.086219,4.2004166,7.6142063,1.7020681,4.991201,6.9458017,0.9361108,7.9077926
13.184007,4.2729497,7.3786297,1.9645572,4.914611,5.6695623,0.88039845,7.302817
13.6019945,3.7094839,7.058423,1.0423826,5.7736473,7.140826,1.544501,8.173409
2.695094,1.2349571,3.5033777,4.305975,3.6827803,2.0671048,10.307425,2.5056667
13.314317,4.1195793,7.2886453,2.0079534,5.045325,5.6118517,0.9148108,7.478354
2.5622683,1.1252022,3.5173564,4.2842646,3.8145192,2.1879067,10.329628,2.733142
13.193605,4.0836444,7.490263,1.4610573,5.213167,7.1414723,1.0827758,8.062947
8.992489,8.978527,5.0805826,3.0776145,2.4760005,6.2299643,2.0162961,7.6720486
0.583863,2.3903906,6.186829,5.7774835,2.431595,2.7647216,6.735802,4.606604
9.0250435,9.179648,4.9273233,3.18692,2.5181787,6.2907863,2.1111314,7.6087375
9.231268,9.689453,4.605296,3.3813717,2.644117,6.439511,2.332452,7.407654
13.78503,3.6061273,6.6961923,0.9563576,5.918426,6.1086106,1.8429223,7.9121523
2.2388914,1.5379629,3.8294375,5.0845003,3.242305,1.6551319,9.521703,3.0323637
13.350216,3.8704326,7.2305894,1.2510157,5.486571,7.213937,1.2649968,8.167411
9.568751,9.158322,5.1986885,2.934811,2.556275,6.2747307,2.1954186,7.512188
0.34392285,2.147984,6.282578,5.3220353,2.3497353,2.572671,7.040298,4.0214047
13.689405,3.7488217,6.8183537,0.89731246,5.867583,6.487586,1.6564783,8.115529
2.285048,1.4631498,3.7878652,5.0007606,3.2958336,1.5363462,9.694147,2.9180744
13.042463,4.225126,7.5748963,1.6591468,5.0410295,7.042547,0.98104495,7.959046
