ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,MaxWind,Tournament,BattingOrder,Role,Country,Batting Hand,Age
30288,6,0.0,2,1,UP,Jaipur,field,day,1,35,0,1.818,7.54,25.92,1.333,7.57,23.95,0.666,7.74,24.99,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,34.9,19.5,18.9,Tournament,3,BOWL,India,LHB,20
236779,6,0.0,1,0,Himachal,Delhi,bat,day,1,-2,0,1.041,7.97,26.06,0.939,7.58,23.12,0.847,8.04,24.75,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,34.4,18.9,24.0,Tournament,4,BOWL,India,RHB,19
253802,6,0.0,1,1,Himachal,Delhi,bat,day,1,61,0,1.041,7.97,26.06,0.939,7.58,23.12,0.847,8.04,24.75,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,34.4,18.9,24.0,Tournament,2,BAT,India,RHB,19
28081,6,0.0,2,1,Orissa,Eden Gardens,bat,day,0,-1,0,1.428,8.06,26.66,1.066,7.63,24.0,0.847,8.09,25.96,0.0,2,0,0,2,0.9353,0.9025,1.3382,1.0927,38.3,25.2,18.4,Tournament,2,WK,India,RHB,26
34102,6,0.0,2,0,Baroda,Wankhede,field,day,1,74,0,1.25,8.23,27.2,1.38,8.43,26.58,0.732,8.32,26.77,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,37.8,24.7,19.2,Tournament,2,BAT,India,RHB,20
277916,6,0.0,2,1,Baroda,Wankhede,field,day,1,38,0,1.25,8.23,27.2,1.38,8.43,26.58,0.732,8.32,26.77,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,37.8,24.7,19.2,Tournament,1,BAT,India,RHB,19
290630,6,0.0,1,1,Kerala,Visakhapatnam,bat,day,1,5,0,0.755,8.08,21.23,0.812,7.69,22.03,0.926,8.02,23.39,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,33.3,26.2,25.3,Tournament,2,BAT,India,RHB,18
277916,6,88.0,2,1,Gujarat,Brabourne,bat,day,0,-4,0,1.388,8.42,24.88,1.0,7.95,24.94,0.954,8.37,24.94,22.0,1,0,0,0,2.2407,2.2407,1.3382,1.0927,38.8,24.2,17.1,Tournament,1,BAT,India,RHB,19
28081,6,11.11111111,2,1,Bengal,Eden Gardens,bat,day,0,30,0,1.428,8.06,26.66,1.066,7.63,24.0,0.847,8.09,25.96,0.3333333333,3,0,0,2,0.9353,0.9025,1.3382,1.0927,36.7,25.6,18.4,Tournament,2,WK,India,RHB,26
34102,6,108.1081081,2,0,Gujarat,Brabourne,bat,day,0,233,0,1.388,8.42,24.88,1.0,7.95,24.94,0.954,8.37,24.94,40.0,1,0,0,0,3.2441,3.2441,1.3382,1.0927,38.8,24.2,17.1,Tournament,2,BAT,India,RHB,20
290630,6,50.0,1,1,Andhra,Visakhapatnam,bat,day,1,78,0,0.755,8.08,21.23,0.812,7.69,22.03,0.926,8.02,23.39,5.0,1,0,0,0,1.0863,1.0863,1.4892,1.0927,33.1,25.9,23.5,Tournament,2,BAT,India,RHB,18
253802,6,134.6153846,1,1,J + K,Delhi,bat,day,1,148,0,1.041,7.97,26.06,0.939,7.58,23.12,0.847,8.04,24.75,35.0,1,0,0,0,2.8179,2.8179,3.188,1.0927,36.0,19.9,25.0,Tournament,2,BAT,India,RHB,19
277916,6,84.61538462,1,1,Saurashtra,Wankhede,bat,day,1,3,0,1.25,8.23,27.2,0.758,7.95,25.67,0.732,8.29,26.23,11.0,2,0,0,1,1.8145,1.8145,2.6436,1.0927,39.2,25.3,15.6,Tournament,1,BAT,India,RHB,19
290630,6,141.6666667,2,1,Goa,Visakhapatnam,field,day,1,115,0,0.755,8.08,21.23,1.0,7.9,23.7,0.926,7.79,21.89,25.5,2,0,0,0,2.3917,2.3917,3.0184,1.0927,32.4,25.1,21.5,Tournament,2,BAT,India,RHB,18
