Ground_Name,Ground_ID,Home Team,HomeWinLossRatio,HomeAverage,HomeRPO,AwayAverage,AwayRPO,NeutralAverage,NeutralRPO,WonTossBattedWinLossRatio,WonTossBattedAverage,WonTossBattedRPO,WonTossFieldedWinLossRatio,WonTossFieldedAverage,WonTossFieldedRPO,LostTossSentInWinLossRatio,LostTossSentInAverage,LostTossSentInRPO,LostTossFieldedWinLossRatio,LostTossFieldedAverage,LostTossFieldedRPO,FirstInningsWinLossRatio,FirstInningsAverage,FirstInningsRPO,SecondInningsAverage,SecondInningsRPO,DayMatchAverage,DayMatchRPO,DayNightMatchAverage,DayNightMatchRPO,NightMatchAverage,NightMatchRPO
Ahmedabad,57851,GT,1.461,29.93,8.47,22.49,8.05,28.41,9.21,1.5,24.78,8.21,1.0,27.41,8.46,1.0,26.96,8.54,0.666,22.78,7.6,1.166,26.11,8.41,25.56,8.13,22.46,7.5,25.98,8.32,26.53,8.42
Bengaluru,57897,RCB,1.145,28.43,8.89,27.08,8.59,21.69,7.14,0.818,30.09,8.59,1.304,27.19,8.58,0.766,27.58,8.77,1.222,24.56,8.3,0.774,27.94,8.74,26.73,8.53,20.23,8.4,27.35,8.27,27.79,8.82
Bhadravati,57930,Neutral,0.666,16.58,7.23,18.72,6.9,0.0,0.0,0.0,106.0,5.57,0.0,13.97,6.5,0.0,21.9,8.21,0.0,53.5,6.05,4.0,19.07,7.7,16.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0
Eden Gardens,57980,KKR,1.428,26.66,8.25,24.16,8.06,21.56,7.69,0.937,24.0,7.81,1.261,27.35,8.39,0.792,25.05,8.44,1.066,23.9,7.63,0.847,24.64,8.19,25.96,8.09,21.66,7.61,26.09,8.12,26.75,8.4
Jadavpur Uni,57986,Neutral,1.5,24.26,7.74,22.07,7.35,0.0,0.0,1.333,26.02,8.19,2.0,42.22,7.4,0.5,13.64,6.38,0.75,22.4,7.46,1.0,21.2,7.65,25.77,7.44,0.0,0.0,0.0,0.0,0.0,0.0
Mohali,57991,Kings XI,1.23,27.96,8.37,27.05,8.32,23.5,7.72,0.736,27.53,8.34,1.757,28.63,8.36,0.568,25.29,8.29,1.357,29.04,8.17,0.61,25.88,8.3,28.75,8.3,23.49,7.85,27.62,8.36,28.82,8.47
Chandigarh,57993,Neutral,0.75,23.64,7.25,26.87,7.59,0.0,0.0,0.272,20.76,6.92,2.5,25.83,7.45,0.4,22.0,7.71,3.666,35.17,7.84,0.312,21.13,7.15,31.71,7.72,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,58008,CSK,1.454,27.44,7.95,22.93,7.74,22.27,7.04,1.121,26.59,7.88,0.739,24.46,7.84,1.352,25.09,8.17,0.891,23.51,7.56,1.2,26.02,7.98,23.86,7.66,20.05,7.0,29.45,8.24,24.7,7.85
Cuttack,58027,Chargers,1.2,24.38,7.96,20.6,7.3,0.0,0.0,1.8,28.9,8.57,1.0,19.93,6.93,1.0,22.14,7.82,0.555,22.31,7.67,1.2,24.09,8.06,20.69,7.17,21.57,7.56,30.0,8.38,24.0,7.65
Delhi,58040,DC,1.041,26.06,8.19,24.64,7.97,20.11,6.58,0.939,22.35,7.58,1.268,26.9,8.38,0.788,26.5,8.34,1.064,23.12,7.31,0.847,24.75,8.04,25.34,7.94,21.93,7.37,25.36,7.77,27.18,8.52
