Feature,Min,Max
ID,0.0,195.0
GameFormat,3.0,6.0
SR,0.0,480.0
BattingInnings,1.0,2.0
IsOut,0.0,1.0
Opposition,0.0,298.0
Ground,0.0,190.0
TossResult,0.0,1.0
MatchTime,0.0,2.0
isTossWon,0.0,1.0
isHomeGround,0.0,1.0
GroundWL,0.0,4.375
GroundRPO,0.0,11.15
GroundAvg,0.0,55.0
TossWL,0.0,6.0
TossRPO,0.0,11.65
TossAvg,0.0,83.5
inningsWL,0.0,4.666
inningsRPO,5.36,11.15
inningsAverage,11.7,55.0
Average,0.0,180.0
Innings,0.0,582.0
Centuries,0.0,13.0
Fifties,0.0,134.0
Zeros,0.0,49.0
Consistency,0.9025,4.5716
Form,0.9025,3.8155
Venue,1.3382,4.7093
Opps,1.0927,4.6965
MaxTemp,9.7,45.9
MinTemp,0.1,32.4
MaxWind,4.3,54.6
Tournament,0.0,13.0
BattingOrder,1.0,4.0
Role,0.0,3.0
Country,0.0,12.0
Batting Hand,0.0,1.0
Age,15.0,43.0
