Match ID,Venue,,,,,
1473438,Kolkata,,,,,
1473439,Hyderabad,,,,,
1473440,Chennai,,,,,
1473441,Visakhapatnam,,,,,
1473442,Ahmedabad,,,,,
1473443,Guwahati,,,,,
1473444,Hyderabad,,,,,
1473445,Chennai,,,,,
1473446,Ahmedabad,,,,,
1473447,Visakhapatnam,,,,,
1473448,Guwahati,,,,,
1473449,Mumbai,,,,,
1473450,Lucknow,,,,,
1473451,Bengaluru,,,,,
1473452,Kolkata,,,,,
1473453,Lucknow,,,,,
1473454,Chennai,,,,,
1473455,Mohali,,,,,
1473456,Kolkata,,,,,
1473457,Hyderabad,,,,,
1473458,Mumbai,,,,,
1473459,Mohali,,,,,
1473460,Ahmedabad,,,,,
1473461,Bengaluru,,,,,
1473462,Chennai,,,,,
1473463,Lucknow,,,,,
1473464,Hyderabad,,,,,
1473465,Jaipur,,,,,
1473466,Delhi,,,,,
1473467,Lucknow,,,,,
1473468,Mohali,,,,,
1473469,Delhi,,,,,
1473470,Mumbai,,,,,
1473471,Bengaluru,,,,,
1473472,Ahmedabad,,,,,
1473473,Jaipur,,,,,
1473474,Mohali,,,,,
1473475,Mumbai,,,,,
1473476,Kolkata,,,,,
1473477,Lucknow,,,,,
1473478,Hyderabad,,,,,
1473479,Bengaluru,,,,,
1473480,Chennai,,,,,
1473481,Kolkata,,,,,
1473482,Mumbai,,,,,
1473483,Delhi,,,,,
1473484,Jaipur,,,,,
1473485,Delhi,,,,,
1473486,Chennai,,,,,
1473487,Jaipur,,,,,
1473488,Ahmedabad,,,,,
1473489,Bengaluru,,,,,
1473490,Kolkata,,,,,
1473491,Dharamsala,,,,,
1473492,Hyderabad,,,,,
1473493,Mumbai,,,,,
1473494,Kolkata,,,,,
1473495,Dharamsala,,,,,
1473496,Lucknow,,,,,
1473497,Hyderabad,,,,,
1473498,Dharamsala,,,,,
1473499,Delhi,,,,,
1473500,Chennai,,,,,
1473501,Bengaluru,,,,,
1473502,Ahmedabad,,,,,
1473503,Mumbai,,,,,
1473504,Jaipur,,,,,
1473505,Bengaluru,,,,,
1473506,Ahmedabad,,,,,
1473507,Lucknow,,,,,
1473508,Hyderabad,,,,,
1473509,Hyderabad,,,,,
1473510,Kolkata,,,,,
1473511,Kolkata,,,,,
